scenario,oni,temperature,metals,ticker,start_price,mean_return,median_return,p05_return,p25_return,p75_return,p95_return,prob_positive,prob_gain20,prob_loss20,cvar05_return,median_end_price,p05_end_price,p95_end_price
ONI Low | Temp Low | Metals Down,Low,Low,Down,MOD,189.3,0.09300239716467472,0.06237545741659112,-0.3674256934138302,-0.12692018208997094,0.2823047807892866,0.64906814133926,0.585,0.3329,0.17,-0.46588828038314395,201.10767408896072,119.74631623676194,312.1685991555219
ONI Low | Temp Low | Metals Down,Low,Low,Down,AAON,79.795,0.021147708134250733,0.02005465460081879,-0.31148692340199946,-0.10833345869656555,0.1529490420955686,0.33858449451313183,0.5438,0.1773,0.1225,-0.404101217548696,81.39526116387233,54.93990094713745,106.81234973967535
ONI Low | Temp Low | Metals Down,Low,Low,Down,VRT,257.06,0.22828084025829903,0.209654045142604,-0.2735020306300123,0.022117927385798153,0.421445558334201,0.7869048775414292,0.7719,0.5125,0.0815,-0.3717873144241447,310.9536688443578,186.75356800624903,459.34176782079976
ONI Low | Temp Low | Metals Down,Low,Low,Down,NVT,162.38,0.002207337532583883,-0.0012761823643509529,-0.2274874292562171,-0.09273933133845177,0.0885497301761547,0.2563023865649239,0.496,0.0917,0.0739,-0.2729742472595833,162.17277350767668,125.44059123737547,203.99838153041233
ONI Low | Temp Low | Metals Down,Low,Low,Down,JCI,146.01,-0.03459336775230588,-0.028405092604172344,-0.23576086117592313,-0.1083019850118872,0.04326082933007919,0.14490008771354607,0.3959,0.0158,0.0825,-0.292971903740242,141.86257242886478,111.58655665970345,167.16686180705486
ONI Low | Temp Low | Metals Down,Low,Low,Down,TT,442.52,0.016338579676920425,0.01947910114489304,-0.18606887413661374,-0.06503904112261444,0.0994352732628615,0.21325715455839755,0.5611,0.0639,0.0402,-0.2514892200912612,451.13989183863805,360.1808018170657,536.890556035182
ONI Low | Temp Low | Metals Down,Low,Low,Down,SPXC,191.82,-0.03430278872088972,-0.03695083775045244,-0.23547324848467294,-0.11768115822704403,0.047647658705503304,0.17300100969486698,0.3838,0.0333,0.0843,-0.30130974170184355,184.7320903027082,146.65152147567002,225.0050536796694
ONI Low | Temp Low | Metals Down,Low,Low,Down,Basket,100.0,0.04172581518479045,0.04782440713549074,-0.2051988969265457,-0.04843170540825956,0.13994114546163028,0.2640988381888006,0.6328,0.1245,0.0534,-0.27701821812581756,104.78244071354908,79.48011030734543,126.40988381888006
ONI Low | Temp Low | Metals Base,Low,Low,Base,MOD,189.3,0.1069427940836885,0.07592523149926833,-0.359357699292814,-0.11578472691144723,0.2986595826284434,0.6701007250704613,0.6011,0.3518,0.1597,-0.45907610010808625,203.6726463228115,121.2735875238703,316.15006725583834
ONI Low | Temp Low | Metals Base,Low,Low,Base,AAON,79.795,-0.011849891791206954,-0.012907624143475793,-0.33373569198273445,-0.13714697466734135,0.1156923838056324,0.2953291698774149,0.4753,0.1253,0.1571,-0.42335722670658993,78.76503613147136,53.16456045823771,103.36079111036833
ONI Low | Temp Low | Metals Base,Low,Low,Base,VRT,257.06,0.2092903990796307,0.19095159270836437,-0.2847344104747077,0.006314969510463675,0.39946859884784414,0.759277554166679,0.7561,0.4882,0.0871,-0.3815001062076693,306.14601642161216,183.86617244337162,452.23988807408654
ONI Low | Temp Low | Metals Base,Low,Low,Base,NVT,162.38,0.01816279780335213,0.014623819159273466,-0.21518878288877247,-0.07829545230070797,0.10587978885976157,0.2763031210100121,0.5401,0.1066,0.0622,-0.2613997655338417,164.7546157550828,127.43764543452113,207.24610078960578
ONI Low | Temp Low | Metals Base,Low,Low,Base,JCI,146.01,-0.02897464074773135,-0.022750349451039154,-0.2313129415699991,-0.10311224677166583,0.04933267263296193,0.15156347785972593,0.417,0.0185,0.077,-0.2888569559817017,142.68822147665378,112.23599740136441,168.13978340229858
ONI Low | Temp Low | Metals Base,Low,Low,Base,TT,442.52,0.014771185588568382,0.017906863754435176,-0.1873241161007725,-0.06648093490593443,0.0977397277209559,0.21138607327728523,0.5555,0.0623,0.041,-0.2526435710083244,450.44414534861266,359.6253321430861,536.0625651466643
ONI Low | Temp Low | Metals Base,Low,Low,Base,SPXC,191.82,-0.0462120118350922,-0.04882740445191802,-0.2449015864297651,-0.12856213812613765,0.03472780187370211,0.1585352635225883,0.3466,0.0253,0.0972,-0.3099261673025463,182.45392727803306,144.84297769104245,222.2302342489029
ONI Low | Temp Low | Metals Base,Low,Low,Base,Basket,100.0,0.03744723316874418,0.043173520840597446,-0.20871344748499648,-0.052521342870994914,0.13517263222355919,0.25892833988798797,0.6221,0.1169,0.0557,-0.27977297456203915,104.31735208405975,79.12865525150036,125.89283398879878
ONI Low | Temp Low | Metals Up,Low,Low,Up,MOD,189.3,0.1210609899414455,0.0896478224297087,-0.3511868041711423,-0.10450724764819588,0.3152229772664458,0.6914015630764985,0.6197,0.368,0.1496,-0.4521770357629071,206.27033278594388,122.82033797040276,320.1823158903812
ONI Low | Temp Low | Metals Up,Low,Low,Up,AAON,79.795,-0.04378119974718062,-0.044804752294989814,-0.3552655087814568,-0.1650294041117744,0.07963964566849863,0.2534716076668646,0.4085,0.0843,0.1949,-0.44199099279299503,76.21980479062128,51.44658872678365,100.02076693377747
ONI Low | Temp Low | Metals Up,Low,Low,Up,VRT,257.06,0.190593568974538,0.17253829875580762,-0.2957931265759448,-0.009243658947571148,0.37783142497299627,0.7320773766386082,0.7395,0.4638,0.0935,-0.391062728587748,301.41269507816787,181.02341888238763,445.24781043872065
ONI Low | Temp Low | Metals Up,Low,Low,Up,NVT,162.38,0.034372274087492244,0.0307769537753374,-0.20269433815091975,-0.06362162210464403,0.123485747601631,0.2966222735227731,0.5844,0.1265,0.0531,-0.24964101436961783,167.37756175403928,129.46649337105364,210.54552477462786
ONI Low | Temp Low | Metals Up,Low,Low,Up,JCI,146.01,-0.023323212400429935,-0.017062695338941003,-0.22683913479366508,-0.09789230393016782,0.05543985444377886,0.15826564935348056,0.4386,0.0213,0.0719,-0.28471805896973695,143.5186758535612,112.88921792877696,169.11836746210167
ONI Low | Temp Low | Metals Up,Low,Low,Up,TT,442.52,0.01320620873033761,0.016337051063423425,-0.18857742223481191,-0.06792060500529973,0.09604679704393088,0.20951787757170626,0.5494,0.06,0.0418,-0.2537961416891164,449.7494718365861,359.070719112651,535.2358511830314
ONI Low | Temp Low | Metals Up,Low,Low,Up,SPXC,191.82,-0.057974367387156875,-0.060557506318416165,-0.2542136517183013,-0.13930893101940198,0.021967275995554425,0.1442479126036737,0.3109,0.0208,0.1119,-0.31843633295579626,180.2038591380014,143.05673732739544,219.4896345956367
ONI Low | Temp Low | Metals Up,Low,Low,Up,Basket,100.0,0.03345060888557799,0.038905181429887414,-0.2110937070277003,-0.05609148335918229,0.13069417104570386,0.254066395574571,0.6105,0.1116,0.057,-0.28234000103000745,103.89051814298874,78.89062929722996,125.40663955745711
ONI Low | Temp Central | Metals Down,Low,Central,Down,MOD,189.3,0.09954192708919576,0.06873174365427415,-0.3636409454406011,-0.1216964683904137,0.28997692360258776,0.6589346617474837,0.592,0.3416,0.1648,-0.4626926427683203,202.31091907375412,120.46276902809421,314.03633146879866
ONI Low | Temp Central | Metals Down,Low,Central,Down,AAON,79.795,0.03807413356736061,0.0369629617059134,-0.30007421086499503,-0.09355329799861165,0.17206019108386017,0.3607727151317642,0.5762,0.2052,0.1097,-0.39422366876070336,82.74445952932336,55.850578344027724,108.58285880393912
ONI Low | Temp Central | Metals Down,Low,Central,Down,VRT,257.06,0.2571293266899349,0.23806504624633484,-0.25643885897981084,0.04612428993194062,0.45483088159161666,0.8288737004887428,0.7958,0.5529,0.0729,-0.35703255757862923,318.25700078808285,191.13982691064984,470.1302734476362
ONI Low | Temp Central | Metals Down,Low,Central,Down,NVT,162.38,-0.007983663939694748,-0.011431761469351986,-0.23534276662102438,-0.1019648622877996,0.07748075124592096,0.2435276053478646,0.4664,0.0805,0.0833,-0.28036704936658363,160.5237105726066,124.16504155607805,201.92401255638626
ONI Low | Temp Central | Metals Down,Low,Central,Down,JCI,146.01,-0.031557393204943114,-0.025349657401356973,-0.23335751061247573,-0.10549780655794927,0.04654163683471835,0.14850052654363685,0.4068,0.0174,0.0797,-0.29074846831643786,142.30869652282786,111.93746987547242,167.6925618806364
ONI Low | Temp Central | Metals Down,Low,Central,Down,TT,442.52,0.031030436994599387,0.03421635681134405,-0.17430295261526021,-0.05152355201287953,0.11532834914111473,0.23079560223799991,0.6059,0.0846,0.0329,-0.24066899364402783,457.661422216156,365.38745740869507,544.6516699023597
ONI Low | Temp Central | Metals Down,Low,Central,Down,SPXC,191.82,-0.017712699055251857,-0.02040623995361812,-0.222339144739444,-0.10252345814493793,0.06564560712341211,0.19315245230175368,0.4344,0.0452,0.0687,-0.28930666879421774,187.90567505209697,149.17090525607983,228.87050340052238
ONI Low | Temp Central | Metals Down,Low,Central,Down,Basket,100.0,0.05264600973445729,0.058866208709192236,-0.19695902554873634,-0.03845782675405787,0.15203212350710377,0.27772478512245097,0.6583,0.1492,0.0486,-0.26989552820951895,105.88662087091923,80.30409744512637,127.7724785122451
