ticker,regime,n,median_return,prob_positive
MOD,Risk-off: XLI < -5%,1447,-0.21622945308358343,0.18797512093987562
MOD,Sideways: -5% to +5%,4547,0.04341218879232067,0.5689465581702221
MOD,Risk-on: XLI > +5%,4006,0.26725715594011623,0.845981028457314
AAON,Risk-off: XLI < -5%,1447,-0.13844118041168108,0.1990324809951624
AAON,Sideways: -5% to +5%,4547,-0.019090595107551955,0.4534858148229602
AAON,Risk-on: XLI > +5%,4006,0.07629339210294295,0.6615077383924114
VRT,Risk-off: XLI < -5%,1447,-0.03498514511015649,0.4388389771941949
VRT,Sideways: -5% to +5%,4547,0.16280445357412798,0.7525841213987244
VRT,Risk-on: XLI > +5%,4006,0.3181566335239383,0.8781827259111333
NVT,Risk-off: XLI < -5%,1447,-0.09205722301892827,0.22529371112646857
NVT,Sideways: -5% to +5%,4547,-0.006937466137761694,0.47591818781614253
NVT,Risk-on: XLI > +5%,4006,0.04355452879468258,0.6200698951572641
JCI,Risk-off: XLI < -5%,1447,-0.15308695417278484,0.018659295093296474
JCI,Sideways: -5% to +5%,4547,-0.044660894851845545,0.2775456344842753
JCI,Risk-on: XLI > +5%,4006,0.04468610555838126,0.690963554667998
TT,Risk-off: XLI < -5%,1447,-0.1188134287550221,0.11472011057360056
TT,Sideways: -5% to +5%,4547,0.006673510069552524,0.528700241917748
TT,Risk-on: XLI > +5%,4006,0.10203864739340773,0.8117823265102346
SPXC,Risk-off: XLI < -5%,1447,-0.19637125924256094,0.02626123013130615
SPXC,Sideways: -5% to +5%,4547,-0.07091165051880222,0.23312073894875743
SPXC,Risk-on: XLI > +5%,4006,0.02241970394067816,0.5798801797304044
Basket,Risk-off: XLI < -5%,1447,-0.11929691268767972,0.10020732550103663
Basket,Sideways: -5% to +5%,4547,0.024972237394604857,0.5944578843193314
Basket,Risk-on: XLI > +5%,4006,0.13984481084502565,0.8592111832251622
