universe,sample,ticker,entry_date,exit_date,status,equity_before_hkd,entry_debit_hkd,realized_pnl_hkd,equity_after_hkd,risk_share_if_executed,within_20pct_risk_cap,partial_window
Monthly,Through 2026-09-11,VRT,2026-05-01,2026-05-29,Executed: one straddle,100000.0,47827.849554,-16750.072856500003,83249.9271435,0.47827849554,False,False
Monthly,Through 2026-09-11,VRT,2026-06-01,2026-06-29,Executed: one straddle,83249.9271435,44513.581302,-14802.385502000008,68447.54164149999,0.5346981412400615,False,False
Monthly,Through 2026-09-11,VRT,2026-07-01,2026-07-29,Executed: one straddle,68447.54164149999,57403.408758,25415.078600749992,93862.62024224998,0.8386482170339351,False,False
Monthly,Through 2026-09-11,VRT,2026-08-03,2026-08-28,Executed: one straddle,93862.62024224998,40360.227708,-17354.922593,76507.69764924998,0.4299925529868473,False,False
Monthly,Through 2026-09-11,VRT,2026-09-01,2026-09-11,Executed: one straddle,76507.69764924998,31272.882073749995,-5093.027463749997,71414.67018549998,0.40875471403048513,False,True
Monthly,Through 2026-09-11,MOD,2026-05-01,2026-05-29,Executed: one straddle,100000.0,50806.418138249996,-17581.745943250004,82418.25405675,0.5080641813825,False,False
Monthly,Through 2026-09-11,MOD,2026-06-01,2026-06-29,Executed: one straddle,82418.25405675,47726.242902,-13374.902371999997,69043.35168475,0.579073694877564,False,False
Monthly,Through 2026-09-11,MOD,2026-07-01,2026-07-29,Executed: one straddle,69043.35168475,53480.73531599999,1567.6262307500074,70610.9779155,0.7745964529675721,False,False
Monthly,Through 2026-09-11,ETN,2026-05-01,2026-05-29,Executed: one straddle,100000.0,43524.580656,-21378.194836000002,78621.80516399999,0.43524580656,False,False
Monthly,Through 2026-09-11,ETN,2026-06-01,2026-06-29,Executed: one straddle,78621.80516399999,34305.349068,-10021.670168000011,68600.13499599998,0.4363337752986117,False,False
Monthly,Through 2026-09-11,ETN,2026-07-01,2026-07-29,Executed: one straddle,68600.13499599998,46599.98026199999,-8946.177146499998,59653.95784949998,0.6792986670466057,False,False
Monthly,Through 2026-09-11,ETN,2026-08-03,2026-08-28,Executed: one straddle,59653.95784949998,48542.764352499995,-26882.768917499994,32771.18893199999,0.813739206960379,False,False
Monthly,Through 2026-09-11,ETN,2026-09-01,2026-09-11,Executed: one straddle,32771.18893199999,29979.308857499997,4191.3786025000045,36962.56753449999,0.914806872576606,False,True
Monthly,Through 2026-09-11,PWR,2026-05-01,2026-05-29,Executed: one straddle,100000.0,65040.925145999994,-15122.421413500007,84877.57858649999,0.65040925146,False,False
Monthly,Through 2026-09-11,PWR,2026-06-01,2026-06-29,Executed: one straddle,84877.57858649999,70206.842448,-23662.699867999996,61214.8787185,0.8271541627033006,False,False
Monthly,Through 2026-09-11,PWR,2026-07-01,2026-07-29,Skipped: one straddle cost exceeded equity,61214.8787185,93736.36768799997,0.0,61214.8787185,1.5312677187363524,False,False
Monthly,Through 2026-09-11,PWR,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,61214.8787185,69899.34575174999,0.0,61214.8787185,1.1418685655359377,False,False
Monthly,Through 2026-09-11,PWR,2026-09-01,2026-09-11,Executed: one straddle,61214.8787185,56011.4655075,-3297.4577974999993,57917.420921,0.9149975737936494,False,True
Monthly,Through 2026-09-11,GEV,2026-05-01,2026-05-29,Skipped: one straddle cost exceeded equity,100000.0,128120.74554075,0.0,100000.0,1.2812074554075,False,False
Monthly,Through 2026-09-11,GEV,2026-06-01,2026-06-29,Skipped: one straddle cost exceeded equity,100000.0,114702.20560799999,0.0,100000.0,1.14702205608,False,False
Monthly,Through 2026-09-11,GEV,2026-07-01,2026-07-29,Skipped: one straddle cost exceeded equity,100000.0,174311.93855399993,0.0,100000.0,1.7431193855399993,False,False
Monthly,Through 2026-09-11,GEV,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,100000.0,143879.76547274998,0.0,100000.0,1.4387976547274997,False,False
Monthly,Through 2026-09-11,GEV,2026-09-01,2026-09-11,Executed: one straddle,100000.0,89877.37300124999,-3043.6560312499787,96956.34396875002,0.8987737300124998,False,True
Monthly,Completed only,VRT,2026-05-01,2026-05-29,Executed: one straddle,100000.0,47827.849554,-16750.072856500003,83249.9271435,0.47827849554,False,False
Monthly,Completed only,VRT,2026-06-01,2026-06-29,Executed: one straddle,83249.9271435,44513.581302,-14802.385502000008,68447.54164149999,0.5346981412400615,False,False
Monthly,Completed only,VRT,2026-07-01,2026-07-29,Executed: one straddle,68447.54164149999,57403.408758,25415.078600749992,93862.62024224998,0.8386482170339351,False,False
Monthly,Completed only,VRT,2026-08-03,2026-08-28,Executed: one straddle,93862.62024224998,40360.227708,-17354.922593,76507.69764924998,0.4299925529868473,False,False
Monthly,Completed only,MOD,2026-05-01,2026-05-29,Executed: one straddle,100000.0,50806.418138249996,-17581.745943250004,82418.25405675,0.5080641813825,False,False
Monthly,Completed only,MOD,2026-06-01,2026-06-29,Executed: one straddle,82418.25405675,47726.242902,-13374.902371999997,69043.35168475,0.579073694877564,False,False
Monthly,Completed only,MOD,2026-07-01,2026-07-29,Executed: one straddle,69043.35168475,53480.73531599999,1567.6262307500074,70610.9779155,0.7745964529675721,False,False
