ticker,entry_date,exit_date,target_holding_sessions,spot_open,expiration_date,dte_at_entry,strike,call_contract,put_contract,call_entry_open,put_entry_open,call_exit_close,put_exit_close,call_entry_volume,put_entry_volume,call_exit_volume,put_exit_volume,actual_holding_sessions,partial_window,company_role,available_centered_month,ONI,dONI,oni_gate,signal_strength,fx_entry_hkd_per_usd,fx_exit_hkd_per_usd,raw_entry_premium_usd,raw_exit_value_usd,entry_debit_hkd,exit_proceeds_hkd,raw_pnl_hkd,friction_cost_hkd,net_pnl_hkd,net_return_on_debit,within_20pct_initial_cap,affordable_at_initial_capital,underlying_entry,underlying_exit,underlying_return_usd,underlying_return_hkd,abs_underlying_return,premium_implied_move,magnitude_coverage,minimum_leg_volume,option_win,liquidity_flag
ETN,2026-05-01,2026-05-29,20,435.0,2026-06-18,48,400.0,O:ETN260618C00400000,O:ETN260618P00400000,42.7,11.5,15.3,13.7,17,39,62,46,20,False,Electrical power management,2026-02,-0.2,0.2,False,Below El Niño threshold,7.83267,7.836099999999999,5420.0,2900.0,43524.580656,22146.385819999996,-19728.381400000002,1649.8134360000004,-21378.194836000002,-0.4911752052240152,False,True,435.0,400.6,-0.07908045977011491,-0.07867718042565286,0.07908045977011491,0.1245977011494253,0.6346863468634684,17,False,Better (>5)
ETN,2026-06-01,2026-06-29,20,396.08,2026-07-17,46,400.0,O:ETN260717C00400000,O:ETN260717P00400000,20.4,22.3,21.33,10.45,17,6,3,34,20,False,Electrical power management,2026-03,0.1,0.3,False,Below El Niño threshold,7.83576,7.8404,4270.0,3177.9999999999995,34305.349068,24283.67889999999,-8541.904000000006,1479.7661680000056,-10021.670168000011,-0.2921314150785953,False,True,396.08,408.26,0.03075136336093731,0.031361729978341746,0.03075136336093731,0.10780650373661887,0.28524590163934543,3,False,Fragile (≤5)
ETN,2026-07-01,2026-07-29,20,419.99,2026-08-21,51,400.0,O:ETN260821C00400000,O:ETN260821P00400000,38.4,19.56,5.46,43.8,5,3,56,8,20,False,Electrical power management,2026-04,0.5,0.4,True,Moderate (0.5–0.9),7.84221,7.842009999999999,5795.999999999999,4926.0,46599.98026199999,37653.80311549999,-6823.707899999994,2122.4692465000044,-8946.177146499998,-0.19197813166876315,False,True,419.99,361.88,-0.13836043715326563,-0.1383824115600425,0.13836043715326563,0.13800328579251886,1.002587991718427,3,False,Fragile (≤5)
ETN,2026-08-03,2026-08-28,20,413.94,2026-09-18,46,410.0,O:ETN260918C00410000,O:ETN260918P00410000,40.8,19.58,11.5,16.85,1,14,12,13,20,False,Electrical power management,2026-05,0.9,0.4,True,Moderate (0.5–0.9),7.84181,7.8398,6038.0,2835.0,48542.764352499995,21659.995435,-25123.015779999998,1759.7531374999962,-26882.768917499994,-0.5537955919091679,False,True,413.94,402.78,-0.02696042904768814,-0.027209836969789403,0.02696042904768814,0.14586655070783205,0.1848294137131505,1,False,Fragile (≤5)
ETN,2026-09-01,2026-09-11,20,397.99,2026-10-16,45,400.0,O:ETN261016C00400000,O:ETN261016P00400000,17.3,20.0,36.1,8.6,13,51,6,9,8,True,Electrical power management,2026-06,1.4,0.4999999999999999,True,Strong (≥1.0),7.83865,7.8428,3729.9999999999995,4470.0,29979.308857499997,34170.68746,5819.1515,1627.7728974999955,4191.3786025000045,0.13980904704717492,False,True,397.99,425.37,0.0687956983843816,0.06936154864536959,0.0687956983843816,0.09372094776250658,0.7340482573726551,6,True,Better (>5)
GEV,2026-05-01,2026-05-29,20,1088.83,2026-06-18,48,1070.0,O:GEV260618C01070000,O:GEV260618P01070000,89.1,70.47,13.35,115.89,26,8,22,3,20,False,Power generation and grid equipment,2026-02,-0.2,0.2,False,Below El Niño threshold,7.83267,7.836099999999999,15957.0,12924.0,128120.74554075,98731.72555999999,-23712.158790000016,5676.861190749987,-29389.019980750003,-0.22938533378579623,False,False,1088.83,968.32,-0.11067843465003713,-0.11028899235652156,0.11067843465003713,0.14655180331181175,0.7552171460800898,3,False,Fragile (≤5)
GEV,2026-06-01,2026-06-29,20,959.97,2026-07-17,46,960.0,O:GEV260717C00960000,O:GEV260717P00960000,66.4,76.4,158.0,11.3,12,20,7,5,20,False,Power generation and grid equipment,2026-03,0.1,0.3,False,Below El Niño threshold,7.83576,7.8404,14280.000000000002,16930.0,114702.20560799999,129409.33018,20843.319199999998,6136.194627999983,14707.124572000015,0.12822006773141123,False,False,959.97,1102.51,0.14848380678562867,0.14916388949151616,0.14848380678562867,0.1487546485827682,0.9981792717086831,5,True,Fragile (≤5)
GEV,2026-07-01,2026-07-29,20,1146.4,2026-08-21,51,1130.0,O:GEV260821C01130000,O:GEV260821P01130000,118.74,98.1,6.5,205.2,4,3,6,9,20,False,Power generation and grid equipment,2026-04,0.5,0.4,True,Moderate (0.5–0.9),7.84221,7.842009999999999,21683.999999999996,21170.0,174311.93855399993,161854.7732945,-4035.1299399999843,8422.035319499962,-12457.165259499947,-0.07146478527425047,False,False,1146.4,900.28,-0.2146894626657363,-0.21470949045222332,0.2146894626657363,0.18914863921842284,1.1350304371887112,3,False,Fragile (≤5)
GEV,2026-08-03,2026-08-28,20,975.02,2026-09-18,46,980.0,O:GEV260918C00980000,O:GEV260918P00980000,101.29,77.7,14.65,75.63,1,14,86,5,20,False,Power generation and grid equipment,2026-05,0.9,0.4,True,Moderate (0.5–0.9),7.84181,7.8398,17899.0,9028.0,143879.76547274998,68998.0798,-69582.84279,5298.842882749974,-74881.68567274997,-0.5204462589072828,False,False,975.02,911.93,-0.06470636499764115,-0.06494609794275885,0.06470636499764115,0.18357572152366106,0.3524777920554225,1,False,Fragile (≤5)
GEV,2026-09-01,2026-09-11,20,888.52,2026-10-16,45,890.0,O:GEV261016C00890000,O:GEV261016P00890000,53.95,57.9,90.87,22.7,18,45,1,8,8,True,Power generation and grid equipment,2026-06,1.4,0.4999999999999999,True,Strong (≥1.0),7.83865,7.8428,11185.0,11357.0,89877.37300124999,86833.71697000001,1395.379350000003,4439.035381249982,-3043.6560312499787,-0.03386454153714137,False,True,888.52,957.27,0.07737586098230764,0.07794625382075271,0.07737586098230764,0.12588349164903434,0.614662494412159,1,False,Fragile (≤5)
