universe,sample,ticker,candidate_trades,executed_trades,skipped_unaffordable,ending_equity_hkd,net_profit_hkd,portfolio_return
Monthly,Through 2026-09-11,VRT,5,5,0,71414.67018549998,-28585.329814500015,-0.28585329814500016
Monthly,Through 2026-09-11,MOD,3,3,0,70610.9779155,-29389.0220845,-0.29389022084500005
Monthly,Through 2026-09-11,ETN,5,5,0,36962.56753449999,-63037.43246550001,-0.6303743246550001
Monthly,Through 2026-09-11,PWR,5,3,2,57917.420921,-42082.579079,-0.42082579079000004
Monthly,Through 2026-09-11,GEV,5,1,4,96956.34396875002,-3043.6560312499787,-0.03043656031249975
Monthly,Completed only,VRT,4,4,0,76507.69764924998,-23492.30235075002,-0.23492302350750016
Monthly,Completed only,MOD,3,3,0,70610.9779155,-29389.0220845,-0.29389022084500005
Monthly,Completed only,ETN,4,4,0,32771.18893199999,-67228.81106800001,-0.67228811068
Monthly,Completed only,PWR,4,2,2,61214.8787185,-38785.1212815,-0.387851212815
Monthly,Completed only,GEV,4,0,4,100000.0,0.0,0.0
ONI-gated,Through 2026-09-11,VRT,3,3,0,102967.12854399999,2967.128543999992,0.02967128543999986
ONI-gated,Through 2026-09-11,MOD,1,1,0,101567.62623075,1567.62623075,0.015676262307499966
ONI-gated,Through 2026-09-11,ETN,3,3,0,68362.4325385,-31637.567461500003,-0.31637567461500005
ONI-gated,Through 2026-09-11,PWR,3,3,0,53320.07590925003,-46679.92409074997,-0.4667992409074997
ONI-gated,Through 2026-09-11,GEV,3,1,2,96956.34396875002,-3043.6560312499787,-0.03043656031249975
ONI-gated,Completed only,VRT,2,2,0,108060.15600774999,8060.156007749989,0.08060156007749986
ONI-gated,Completed only,MOD,1,1,0,101567.62623075,1567.62623075,0.015676262307499966
ONI-gated,Completed only,ETN,2,2,0,64171.053936,-35828.946064,-0.35828946064
ONI-gated,Completed only,PWR,2,2,0,56617.53370675003,-43382.46629324997,-0.43382466293249966
ONI-gated,Completed only,GEV,2,0,2,100000.0,0.0,0.0
