ticker,entry_date,exit_date,target_holding_sessions,spot_open,expiration_date,dte_at_entry,strike,call_contract,put_contract,call_entry_open,put_entry_open,call_exit_close,put_exit_close,call_entry_volume,put_entry_volume,call_exit_volume,put_exit_volume,actual_holding_sessions,partial_window
VRT,2026-05-01,2026-05-29,20,330.65,2026-06-18,48,330.0,O:VRT260618C00330000,O:VRT260618P00330000,29.81,29.75,13.73,26.96,88,24,147,20,20,False
VRT,2026-06-01,2026-06-29,20,317.99,2026-07-17,46,320.0,O:VRT260717C00320000,O:VRT260717P00320000,28.9,26.51,13.0,25.88,285,184,54,7,20,False
VRT,2026-07-01,2026-07-29,20,325.8,2026-08-21,51,330.0,O:VRT260821C00330000,O:VRT260821P00330000,32.0,39.4,0.36,107.97,220,8,171,3,20,False
VRT,2026-08-03,2026-08-28,20,236.98,2026-09-18,46,240.0,O:VRT260918C00240000,O:VRT260918P00240000,27.65,22.55,24.65,5.46,73,30,24,65,20,False
VRT,2026-09-01,2026-09-11,20,255.22,2026-10-16,45,260.0,O:VRT261016C00260000,O:VRT261016P00260000,17.0,21.91,16.25,18.0,272,8,312,26,8,True
MOD,2026-05-01,2026-05-29,20,257.65,2026-06-18,48,260.0,O:MOD260618C00260000,O:MOD260618P00260000,32.77,30.5,32.4,11.1,9,5,204,12,20,False
MOD,2026-06-01,2026-06-29,20,279.46,2026-07-17,46,280.0,O:MOD260717C00280000,O:MOD260717P00280000,31.3,28.11,9.95,35.0,8,6,19,2,20,False
MOD,2026-07-01,2026-07-29,20,255.96,2026-08-21,51,250.0,O:MOD260821C00250000,O:MOD260821P00250000,34.62,31.9,3.31,68.7,9,6,21,4,20,False
ETN,2026-05-01,2026-05-29,20,435.0,2026-06-18,48,400.0,O:ETN260618C00400000,O:ETN260618P00400000,42.7,11.5,15.3,13.7,17,39,62,46,20,False
ETN,2026-06-01,2026-06-29,20,396.08,2026-07-17,46,400.0,O:ETN260717C00400000,O:ETN260717P00400000,20.4,22.3,21.33,10.45,17,6,3,34,20,False
ETN,2026-07-01,2026-07-29,20,419.99,2026-08-21,51,400.0,O:ETN260821C00400000,O:ETN260821P00400000,38.4,19.56,5.46,43.8,5,3,56,8,20,False
ETN,2026-08-03,2026-08-28,20,413.94,2026-09-18,46,410.0,O:ETN260918C00410000,O:ETN260918P00410000,40.8,19.58,11.5,16.85,1,14,12,13,20,False
ETN,2026-09-01,2026-09-11,20,397.99,2026-10-16,45,400.0,O:ETN261016C00400000,O:ETN261016P00400000,17.3,20.0,36.1,8.6,13,51,6,9,8,True
PWR,2026-05-01,2026-05-29,20,736.55,2026-06-18,48,730.0,O:PWR260618C00730000,O:PWR260618P00730000,38.0,43.0,23.5,41.85,18,10,15,12,20,False
PWR,2026-06-01,2026-06-29,20,702.0,2026-07-17,46,700.0,O:PWR260717C00700000,O:PWR260717P00700000,45.4,42.0,37.5,23.4,5,125,10,57,20,False
PWR,2026-07-01,2026-07-29,20,709.07,2026-08-21,51,640.0,O:PWR260821C00640000,O:PWR260821P00640000,84.4,32.2,9.0,89.82,1,5,33,3,20,False
PWR,2026-08-03,2026-08-28,20,659.11,2026-09-18,46,660.0,O:PWR260918C00660000,O:PWR260918P00660000,49.35,37.6,5.7,52.8,2,1,17,1,20,False
PWR,2026-09-01,2026-09-11,20,605.32,2026-10-16,45,620.0,O:PWR261016C00620000,O:PWR261016P00620000,31.3,38.4,51.1,17.85,2,2,1,9,8,True
GEV,2026-05-01,2026-05-29,20,1088.83,2026-06-18,48,1070.0,O:GEV260618C01070000,O:GEV260618P01070000,89.1,70.47,13.35,115.89,26,8,22,3,20,False
GEV,2026-06-01,2026-06-29,20,959.97,2026-07-17,46,960.0,O:GEV260717C00960000,O:GEV260717P00960000,66.4,76.4,158.0,11.3,12,20,7,5,20,False
GEV,2026-07-01,2026-07-29,20,1146.4,2026-08-21,51,1130.0,O:GEV260821C01130000,O:GEV260821P01130000,118.74,98.1,6.5,205.2,4,3,6,9,20,False
GEV,2026-08-03,2026-08-28,20,975.02,2026-09-18,46,980.0,O:GEV260918C00980000,O:GEV260918P00980000,101.29,77.7,14.65,75.63,1,14,86,5,20,False
GEV,2026-09-01,2026-09-11,20,888.52,2026-10-16,45,890.0,O:GEV261016C00890000,O:GEV261016P00890000,53.95,57.9,90.87,22.7,18,45,1,8,8,True
