scenario,ticker,start_price,median_end_price,p10_end_price,p90_end_price,median_return,p10_return,p90_return,prob_positive,monthly_repricing_drift
Excellent,MOD,189.3,206.2262974475978,145.72822201692932,269.96581426463564,0.08941520046274576,-0.23017315363481614,0.4261268582389627,0.64635,0.03
Excellent,AAON,79.795,101.77437556293967,73.98214275595282,132.85606193403527,0.27544803011391283,-0.0728473869797253,0.6649672527606398,0.8387,0.03
Excellent,VRT,257.06,337.3346761323314,225.2102201419928,471.3099389241777,0.3122799195998266,-0.12390017839417727,0.8334627671523288,0.82705,0.02775
Excellent,NVT,162.38,184.85983722746008,149.9583317084413,217.6159600548163,0.13843969224941544,-0.07649752612118912,0.3401647989581001,0.80685,0.024749999999999998
Excellent,JCI,146.01,162.16234089212008,135.01232045957045,188.17153023203338,0.11062489481624593,-0.07532141319381923,0.28875782639568104,0.7763,0.02175
Excellent,TT,442.52,508.3087287411463,424.3043325796003,587.2660014231619,0.14866837372581188,-0.041163489605892674,0.3270948237891213,0.84445,0.017977934945019536
Excellent,SPXC,191.82,206.11058560513817,171.4934333742494,243.7316160540012,0.07449997708861522,-0.10596687845767178,0.2706267128245292,0.70155,0.016574566111882738
Normal,MOD,189.3,189.32510859002193,133.78512730655314,247.84088030399346,0.00013263914433125912,-0.29326398675883186,0.3092492356259558,0.50025,0.0
Normal,AAON,79.795,87.67491287391428,63.7329178830709,114.4506521450914,0.09875196282867682,-0.2012918367933969,0.43430856751790714,0.646,0.0
Normal,VRT,257.06,288.53351792666365,192.62975818447015,403.12699622450793,0.12243646590937385,-0.25064281418941053,0.568221412217023,0.6648,0.0
Normal,NVT,162.38,172.57751897652813,139.99491303380722,203.15728413059932,0.06280033856711498,-0.13785618281926826,0.251122577476286,0.66555,0.0
Normal,JCI,146.01,144.8159463366241,120.57014499724905,168.04295050409416,-0.008177889619723988,-0.17423364839908875,0.15090028425514826,0.4756,0.0
Normal,TT,442.52,452.29905359591413,377.5509591143175,522.556158558549,0.022098557344106817,-0.14681605551315752,0.18086450004191681,0.56485,0.0
Normal,SPXC,191.82,196.27225239792867,163.30749020480656,232.09750786479455,0.023210574486125957,-0.1486420070649226,0.20997553886348955,0.567,0.0
Conservative,MOD,189.3,190.8422273334745,134.85718756175936,249.82690343480388,0.008147001233357098,-0.28760069962092266,0.31974064149394543,0.51365,0.0
Conservative,AAON,79.795,90.0535361881679,65.461994073658,117.5557021599725,0.12856114027405086,-0.17962285765200825,0.4732214068547213,0.6865,0.0
Conservative,VRT,257.06,264.76929404877956,176.76436849965043,369.92461385195776,0.029990251492957087,-0.31236143896502594,0.4390594174587946,0.5437,0.0
Conservative,NVT,162.38,164.9604501225589,133.81594547124206,194.1905135420232,0.015891428270469965,-0.17590869890847358,0.19590167226273686,0.54645,0.0
Conservative,JCI,146.01,147.23096155681083,122.58082643554613,170.84530959077327,0.008362177637222246,-0.16046280093455148,0.17009320999091357,0.5262,0.0
Conservative,TT,442.52,451.38031442184865,376.7840531179715,521.4947085959633,0.02002240446047332,-0.1485490980792472,0.17846585147781643,0.55965,0.0
Conservative,SPXC,191.82,200.27945976063575,166.64166999404722,236.8361442793608,0.04410103096984541,-0.13126019187755597,0.2346790964412513,0.62455,0.0
