variant,portfolio,months,total_return,cagr,annual_vol,sharpe_zero_rf,sortino_zero_target,max_drawdown,calmar,var95_monthly,es95_monthly,worst_month,worst_3m,positive_month_rate,beta_xli,correlation_xli,up_capture,down_capture,max_drawdown_months,annual_turnover,annual_cost_drag,average_gross_exposure,ending_capital_hkd,max_peak_to_trough_hkd,cagr_retention_vs_basic,drawdown_reduction_vs_basic,meets_portfolio_gate
basic,Basic equal-weight basket,63,3.8353140924041718,0.35010208408779264,0.319334214299293,1.1052382917869026,2.366593576098363,-0.3083285932369708,1.1354836747778243,0.10166095235993007,0.12806411674401474,-0.1558151892982735,-0.23125808776221268,0.6031746031746031,1.4082441119177893,0.808244555328404,1.7097223053158885,0.9184307162516343,15,0.19047619047619047,0.00028571428571428574,0.9999999999999999,483531.4092404172,123345.19133295299,1.0,0.0,False
inverse_vol,Inverse-volatility core,63,3.2606538857307044,0.31795395952026495,0.2939439784023299,1.091604555383989,2.3681413984977766,-0.2951364875169039,1.0773115930034038,0.10351697149083591,0.11928208248403455,-0.13069628813359055,-0.21885506044833603,0.6190476190476191,1.3484258947954875,0.8407614920893113,1.6370573111715072,0.9711678237409602,10,0.7909180127482088,0.0011863770191223133,1.0,426065.38857307046,87454.04478989514,0.9081749980115339,0.04278586550008323,False
vol_target,Inverse-vol + 20% vol target,63,1.802977747997001,0.21691679713025613,0.226494634808157,0.9844740111701392,1.7590265953948643,-0.26572613576795734,0.8163171323112776,0.08600193725116778,0.10944417112803739,-0.13071618946076174,-0.20088747475694213,0.6190476190476191,1.0242019300396699,0.8287775285046544,1.2150552628397642,0.7960991320238624,17,0.8756988504462464,0.0013135482756693696,0.7512920617245021,280297.7747997001,55413.011924666454,0.6195815648896892,0.13817225649348286,False
trend,Inverse-vol + trend scaling,63,2.053622085118189,0.23693184070482576,0.23327508389811927,1.032963260789613,1.8878483254245757,-0.23483825333413577,1.0089150184902422,0.08332882169246858,0.11461703818368428,-0.13141084064725303,-0.19709525726247612,0.6190476190476191,0.947218374504457,0.7442040958350202,1.242123993163225,0.7516980733808514,13,2.4201906252545644,0.0036302859378818477,0.8015873015873016,305362.2085118189,62981.215355712906,0.6767507292113463,0.23835071256707252,False
drawdown,Inverse-vol + drawdown brake,63,2.52599695534195,0.2712886735845512,0.24120079427956234,1.1217614859585436,2.004026232465642,-0.20589616075967454,1.3175994762777725,0.10215888418777216,0.11928208248403455,-0.13069628813359055,-0.17333415439108169,0.6190476190476191,0.9648988599685785,0.7331846361915039,1.3047505564261086,0.7013328413764971,17,1.7180167297047477,0.002577025094557122,0.8293650793650794,352599.695534195,60709.972573882755,0.7748844863103473,0.3322184018093003,True
tail_budget,Inverse-vol + expected-shortfall budget,63,2.1253114229727306,0.24241129313592147,0.2485067057144713,1.0027294450410007,1.8700230330688157,-0.2951364875169039,0.8213531819647931,0.09884294868016069,0.11347076927889597,-0.13069628813359055,-0.21885506044833603,0.6190476190476191,1.101272375871657,0.812207376523352,1.345046809474222,0.870712106893974,17,0.8190271552819044,0.0012285407329228563,0.8557410598252555,312531.14229727304,66920.41255538493,0.6924017426732418,0.04278586550008323,False
combined,Combined risk-managed core,63,1.0033773929634076,0.14150711452668618,0.1498790306949309,0.9615732270652058,1.4172656747785635,-0.1765374476758893,0.8015699580435964,0.04890173194001524,0.08478199613411162,-0.1195662720418909,-0.16463617599945302,0.6190476190476191,0.49491213266219597,0.6051980513031279,0.6895103940798856,0.36586184075360856,17,2.2374212688513704,0.003356131903277056,0.6050530079122164,200337.73929634076,29192.361321134897,0.4041881524224273,0.4274373134761178,False
core_signal,85/15 core + confirmed signal,63,0.8821849614206678,0.12801955471939452,0.13155965209891585,0.9846138108418632,1.4996607621829106,-0.15116618241125435,0.8468795909068578,0.04156647214901295,0.07206469671399487,-0.10163133123560726,-0.1407609778376825,0.6190476190476191,0.4313291737136963,0.6008919877321376,0.6078372268816689,0.3098318114149277,17,2.045478018729864,0.0030682170280947963,0.5264974376777648,188218.49614206678,23925.917973956733,0.36566350369765854,0.5097237631312604,False
confirmed,Confirmed ENSO signal,63,0.25481583502165517,0.04418425683318983,0.07527900407740964,0.6098422801536818,0.8957961572486168,-0.03382822202114644,1.3061359478357955,0.0017759501689196698,0.0095849829674345,-0.0317740802465487,-0.03177408024654871,0.07936507936507936,0.07179735382419179,0.1748013850106384,0.14473969887642624,-0.0031716291047973427,29,1.6133051546330197,0.00241995773194953,0.08134920634920635,125481.58350216552,4393.4411695983,0.12620392405921826,0.8902851608214383,False
XLI,XLI benchmark,63,0.6660007610350058,0.10210721810533485,0.18327798273978846,0.6219477297962848,1.154439260158951,-0.21708723183063994,0.4703510991608827,0.07756033045241255,0.08955631332492234,-0.10857634778865821,-0.1518741503204507,0.5238095238095238,1.0000000000000002,0.9999999999999999,1.0,1.0,17,,,1.0,166600.07610350059,21851.217656012188,0.29164984370595787,0.2959224781861405,False
