rule,centered_month,information_month,entry_date,exit_date,horizon_days,ONI,dONI,strength,train_n,train_mean_spread,direction,direction_label,cop_return,xle_return,spread_return,model_gross_return,regime,xle_trailing_126d_return,xle_volatility_20d,is_test,gross_return,commission_return,net_pre_tax_return
S1 Strong level,2023-07,2023-09,2023-10-02,2023-10-02,1,1.0,0.30000000000000004,Strong 1.0–1.4,15,-0.0003249230202810649,-1.0,Long XLE / short COP,-0.026114437791084466,-0.018610834164174084,-0.007503603626910382,0.003751801813455191,"Energy uptrend, high volatility",0.11683917562323654,0.20841994980178302,True,0.003751801813455191,0.002,0.001751801813455191
S1 Strong level,2023-08,2023-10,2023-11-01,2023-11-01,1,1.3,0.30000000000000004,Strong 1.0–1.4,16,-0.0007735905581953972,-1.0,Long XLE / short COP,-0.023518580515567433,-0.008631750845678354,-0.014886829669889079,0.0074434148349445395,"Energy uptrend, high volatility",0.07546863659629555,0.24172431105719422,True,0.0074434148349445395,0.002,0.0054434148349445394
S1 Strong level,2023-09,2023-11,2023-12-01,2023-12-01,1,1.5,0.19999999999999996,Very strong 1.5–1.9,17,-0.0016037810941773784,-1.0,Long XLE / short COP,0.0017386768669043207,0.006392045454545414,-0.0046533685876410935,0.0023266842938205468,"Energy uptrend, low volatility",0.1086662892331709,0.19942055098948733,True,0.0023266842938205468,0.002,0.0003266842938205467
S1 Strong level,2023-10,2023-12,2024-01-02,2024-01-02,1,1.7,0.19999999999999996,Very strong 1.5–1.9,18,-0.0017732026215920293,-1.0,Long XLE / short COP,0.00358453529060343,0.0036716806822219006,-8.714539161847057e-05,4.3572695809235285e-05,"Energy uptrend, low volatility",0.0503618506636061,0.18749763189145263,True,4.3572695809235285e-05,0.002,-0.0019564273041907648
S1 Strong level,2023-11,2024-01,2024-02-01,2024-02-01,1,1.9,0.19999999999999996,Very strong 1.5–1.9,19,-0.0016844627673828947,-1.0,Long XLE / short COP,-0.008545486914723233,-0.006077940650697111,-0.0024675462640261214,0.0012337731320130607,"Energy downtrend, low volatility",-0.025834392837683184,0.20226579759569602,True,0.0012337731320130607,0.002,-0.0007662268679869393
S1 Strong level,2023-12,2024-02,2024-03-01,2024-03-01,1,2.0,0.10000000000000009,Extreme ≥2.0,20,-0.001723616942215056,-1.0,Long XLE / short COP,0.0038664323374340004,0.0043798985707699245,-0.0005134662333359241,0.00025673311666796206,"Energy downtrend, low volatility",-0.009310470739447685,0.1557419186189925,True,0.00025673311666796206,0.002,-0.001743266883332038
S1 Strong level,2024-01,2024-03,2024-04-01,2024-04-01,1,1.8,-0.19999999999999996,Very strong 1.5–1.9,21,-0.0016659907179827165,-1.0,Long XLE / short COP,0.005312500000000053,0.004435526454747096,0.000876973545252957,-0.0004384867726264785,"Energy uptrend, low volatility",0.04261672824314222,0.10936680779990915,True,-0.0004384867726264785,0.002,-0.0024384867726264785
S1 Strong level,2024-02,2024-04,2024-05-01,2024-05-01,1,1.5,-0.30000000000000004,Very strong 1.5–1.9,22,-0.0015504014332901857,-1.0,Long XLE / short COP,-0.005916213623281097,-0.014562587000749527,0.00864637337746843,-0.004323186688734215,"Energy uptrend, low volatility",0.12455885044422454,0.15866667262004114,True,-0.004323186688734215,0.002,-0.006323186688734215
S1 Strong level,2024-03,2024-05,2024-06-03,2024-06-03,1,1.2,-0.30000000000000004,Strong 1.0–1.4,23,-0.001107063398039811,-1.0,Long XLE / short COP,-0.020557371408911118,-0.02293034772311331,0.002372976314202191,-0.0011864881571010955,"Energy uptrend, low volatility",0.12884747463031543,0.1646939065699731,True,-0.0011864881571010955,0.002,-0.0031864881571010955
S1 Strong level,2026-06,2026-08,2026-09-01,2026-09-01,1,1.4,0.4999999999999999,Strong 1.0–1.4,24,-0.000962061743363061,-1.0,Long XLE / short COP,0.008814814814814831,-0.0015415446277170508,0.010356359442531882,-0.005178179721265941,"Energy uptrend, high volatility",0.13659619826264446,0.2344337844623667,True,-0.005178179721265941,0.002,-0.007178179721265941
S1 Strong level,2023-07,2023-09,2023-10-02,2023-10-03,2,1.0,0.30000000000000004,Strong 1.0–1.4,15,0.0017526802042135672,1.0,Long COP / short XLE,-0.02195608782435121,-0.019275506812894583,-0.0026805810114566286,-0.0013402905057283143,"Energy uptrend, high volatility",0.11683917562323654,0.20841994980178302,True,-0.0013402905057283143,0.002,-0.0033402905057283144
S1 Strong level,2023-08,2023-10,2023-11-01,2023-11-02,2,1.3,0.30000000000000004,Strong 1.0–1.4,16,0.00147560137823418,1.0,Long COP / short XLE,0.02125878808168724,0.02134608655079906,-8.729846911181838e-05,-4.364923455590919e-05,"Energy uptrend, high volatility",0.07546863659629555,0.24172431105719422,True,-4.364923455590919e-05,0.002,-0.0020436492345559092
