rule,horizon_days,signals_total,signals_complete,unique_episodes,mean_spread_return,mean_model_gross_return,directional_hit_rate,signal_return_r,signal_return_p,mean_t,mean_p
S1 Strong level,1,10,10,2,-0.0007859277093965611,0.00039296385469828055,0.6,0.19898792224846285,0.5815439720492644,0.3374559113236248,0.743510255838077
S1 Strong level,2,10,10,2,-0.002919902062665303,-0.0027704904717451018,0.2,-0.3205124651894625,0.3665730979737746,-2.6865478728848853,0.024937132996640608
S1 Strong level,5,10,10,2,-0.0043771319504434135,0.0008994784322543913,0.4,-0.35010316303841804,0.32131916529416904,0.5134733878100531,0.6199870810397581
S1 Strong level,10,10,9,1,-0.004682853527890194,0.002341426763945097,0.6666666666666666,-0.37869092407727983,0.31488484022893504,0.6128885527006533,0.5569674110607046
S1 Strong level,20,10,9,1,-0.004972190754038825,0.0024860953770194124,0.5555555555555556,-0.19362104694171414,0.6176742069196275,0.5473959423325048,0.599041196472598
S1 Strong level,40,10,9,1,-0.021434889812274163,0.010717444906137082,0.6666666666666666,0.13718143408106342,0.7248818772384499,1.7785657647915487,0.11319787576012726
S1 Strong level,60,10,9,1,-0.030052713287589898,0.015026356643794949,0.7777777777777778,-0.21777405809258493,0.5735157107301478,2.096377856250712,0.06932701661334494
S2 Very strong,1,6,6,1,0.0003003034076832963,0.00015015170384164814,0.3333333333333333,-0.3026091397070157,0.5599415966054313,0.1620685860371237,0.8775976953268244
S2 Very strong,2,6,6,1,-0.006193086796387008,-0.00120320277965269,0.3333333333333333,-0.0587342837102961,0.9119998827361244,-0.6008135822739955,0.5741590282730354
S2 Very strong,5,6,6,1,-0.0061257608402070325,0.0008246563795826592,0.5,-0.20463508932218807,0.6973319663822091,0.3131231524767386,0.7668271701394892
S2 Very strong,10,6,6,1,-0.010737116759977683,0.0053685583799888414,0.6666666666666666,0.4495828413548924,0.37106164345731396,1.6519094939060388,0.159462769211658
S2 Very strong,20,6,6,1,-0.009953997750163349,0.0049769988750816745,0.5,0.48403351783415344,0.33065145369504595,0.9493789668229784,0.3860241778926411
S2 Very strong,40,6,6,1,-0.023951768012606473,0.011975884006303237,0.6666666666666666,0.7601643018797393,0.07938392910563763,1.5946492231632885,0.17167446871538514
S2 Very strong,60,6,6,1,-0.04141122384798548,0.02070561192399274,0.8333333333333334,0.6227999738611332,0.18658580617619167,2.4487654174919347,0.058024443696038576
S3 Strong and rising,1,7,7,2,-0.0028222286186984557,-0.0017875190187649809,0.5714285714285714,0.3252212526457195,0.4766161629373549,-1.2877103209049718,0.24528083766044656
S3 Strong and rising,2,7,7,2,-0.0022593732707283536,-0.0011296866353641768,0.2857142857142857,-0.49554503645506554,0.2581041359890475,-0.6859522967018247,0.518356268765684
S3 Strong and rising,5,7,7,2,-0.005041182641215273,-0.0025205913206076363,0.5714285714285714,-0.5864325171111058,0.16639431978375632,-1.1786735531748926,0.2831491058849492
S3 Strong and rising,10,7,6,1,-0.0026052550221387825,-0.0014973215961379682,0.5,-0.5963019082115731,0.21156245112414285,-0.2839119156540776,0.7878592366875593
S3 Strong and rising,20,7,6,1,-0.0002744499778066419,0.00013722498890332094,0.5,-0.3613080125172239,0.48162118386069214,0.02325130225855057,0.9823492086748205
S3 Strong and rising,40,7,6,1,-0.004214538395882521,0.0021072691979412603,0.5,0.014387176366432664,0.9784207244572389,0.3306849560173479,0.7542899305226349
S3 Strong and rising,60,7,6,1,-0.015258461753258476,0.007629230876629238,0.6666666666666666,-0.18406453750408722,0.7270212243661757,1.0747787135776343,0.3315799576244093
S4 Rapid strengthening,1,2,2,2,-0.0022652351136785986,0.0011326175568392993,0.5,,,0.179472974162681,0.8869475295767763
S4 Rapid strengthening,2,2,2,2,0.006331722591717659,0.0031658612958588295,0.5,,,0.9864000338549228,0.5043585742680586
S4 Rapid strengthening,5,2,2,2,-0.005526517252829932,-0.002763258626414966,0.5,,,-0.7504411274030276,0.590154777181782
S4 Rapid strengthening,10,2,1,1,-0.016799694643244156,-0.008399847321622078,0.0,,,,
S4 Rapid strengthening,20,2,1,1,-0.021374284194486837,-0.010687142097243418,0.0,,,,
S4 Rapid strengthening,40,1,0,0,,,,,,,
S4 Rapid strengthening,60,1,0,0,,,,,,,
S5 Strong but cooling,1,3,3,1,0.003965441078974526,-0.001982720539487263,0.0,-0.18145513848751185,0.8838385668294882,-1.66616880104178,0.23760251934286059
S5 Strong but cooling,2,3,3,1,-0.004461135910518184,0.002230567955259092,0.6666666666666666,0.26418820656331754,0.8297919834640578,0.9276000377297674,0.45154096215932593
S5 Strong but cooling,5,3,3,1,-0.0028276803386424096,0.0014138401693212048,0.6666666666666666,0.6976596448508359,0.5084495859894796,0.5361447213515841,0.6455082607718706
S5 Strong but cooling,10,3,3,1,-0.008838050539393016,0.004419025269696508,0.6666666666666666,0.4235077710479741,0.7215972590980576,0.777721263201729,0.5181270111319206
S5 Strong but cooling,20,3,3,1,-0.01436767230650319,0.007183836153251595,0.6666666666666666,0.23456335766917955,0.8492679376772123,0.9530871919981474,0.4411343496536121
S5 Strong but cooling,40,3,3,1,-0.05587559264505745,0.027937796322528723,1.0,0.8381728862652622,0.36724799012273646,8.708776137508389,0.012929998698550235
S5 Strong but cooling,60,3,3,1,-0.059641216356252746,0.029820608178126373,1.0,-0.6453952063959126,0.5533854093753717,2.106356206875095,0.16976898676505867
