rule,horizon_days,trades,gross_cumulative_return,net_pre_tax_cumulative_return,after_tax_cumulative_return,mean_net_trade_return,median_net_trade_return,win_rate,commissions_paid,tax_paid,max_closed_trade_drawdown
S5 Strong but cooling,40,2,0.05304039970383534,0.04893964716142429,0.030831977711697434,0.024188135602729588,0.024188135602729588,1.0,403.90617775593415,1810.7669449726998,-0.017262832517322413
S5 Strong but cooling,60,1,0.034832461179725716,0.032832461179725714,0.020684450543227095,0.03283246117972566,0.03283246117972566,1.0,200.0,1214.8010636498493,-0.011761840465996598
S1 Strong level,40,5,0.050510802420572265,0.04014862471990921,0.02047685307345737,0.00802221192913052,0.010131169727239932,0.6,997.3136197759101,1967.1771646451627,-0.018912462295231025
S2 Very strong,60,2,0.034370127772243464,0.03030592484658934,0.01909273265335165,0.015050731413509683,0.015050731413509683,1.0,403.94956091983494,1121.3192193238108,-0.010883361847023876
S2 Very strong,40,3,0.03043060312552992,0.024321285284837346,0.01532240972944754,0.008094667631923477,0.010131169727239932,0.6666666666666666,602.9659595698281,899.8875555389806,-0.008785208005208545
S2 Very strong,10,6,0.032485012529472224,0.02022184193437293,0.012719686711351041,0.003368558379988842,0.0020958095612174116,0.5,1210.1395278803316,750.2155223021537,-0.009048956138344777
S5 Strong but cooling,20,3,0.021535687685607208,0.015461591090671245,0.009740802387122827,0.005183836153251595,0.0009189636164761445,0.6666666666666666,601.8647367333961,572.0788703548329,-0.0056336830006576966
S2 Very strong,20,6,0.029816033071128567,0.017578801548003398,0.009010008168812256,0.002976998875081675,0.0008362656211203263,0.5,1204.0411153476998,856.8793379190857,-0.017897319169563164
S1 Strong level,60,3,0.028758859148848792,0.022655053814231163,0.00681756158854574,0.007730094085093027,0.010506800303715315,0.6666666666666666,593.9994281092635,1583.749222568537,-0.020148979228161945
S5 Strong but cooling,10,3,0.013218555417215505,0.007177648687464844,0.004521918673102698,0.002419025269696508,0.0014396984630077898,0.6666666666666666,599.7666921638361,265.5730014361903,-0.006896240363290618
S4 Rapid strengthening,2,2,0.006331444311617362,0.0023227808664338934,0.0007072017290676857,0.0011658612958588294,0.0011658612958588294,0.5,399.59127015308883,161.55791373662655,-0.002043649234555911
S5 Strong but cooling,2,3,0.0066892746524662705,0.0006745314457197171,0.0004249548108032908,0.00023056795525909211,-0.0009883179898451649,0.3333333333333333,599.695097419893,24.95766349162594,-0.003189007385943521
S5 Strong but cooling,5,3,0.004226603699265086,-0.0017783236861685925,-0.0017783236861685925,-0.0005861598306787953,0.0007111435186985555,0.6666666666666666,598.3700638767192,0.0,-0.005661982521913411
S4 Rapid strengthening,1,2,0.002226691773923317,-0.0017738386963039865,-0.0037734448755399885,-0.0008673824431607007,-0.0008673824431607007,0.5,400.685870269203,201.406348892948,-0.009166960143647263
S1 Strong level,20,9,0.021841555454811257,0.0036367792044742497,-0.005147792063238565,0.0004860953770194121,0.0009189636164761445,0.5555555555555556,1782.3784486006198,878.4571267712795,-0.02309324057103479
S1 Strong level,10,9,0.02073292729090337,0.002546149295411082,-0.00534870704339363,0.0003414267639450964,0.0014396984630077898,0.5555555555555556,1782.6892174290938,789.4856338804719,-0.024978055189057047
S2 Very strong,5,6,0.004853949999977125,-0.007134742257566273,-0.007134742257566384,-0.0011753436204173407,-0.0022542327642482134,0.3333333333333333,1191.833958344486,0.0,-0.01353349806822779
S4 Rapid strengthening,5,2,-0.005532440097432811,-0.00951738706292693,-0.00951738706292704,-0.004763258626414966,-0.004763258626414966,0.0,398.3109124570327,0.0,-0.00951738706292704
S3 Strong and rising,40,3,-0.002402184459375234,-0.008380865825126316,-0.010096725969914955,-0.0027550705199355266,-0.0053780556111402405,0.3333333333333333,596.792525501688,171.58601447885331,-0.013018325675906217
S4 Rapid strengthening,10,1,-0.008399847321622023,-0.010399847321622024,-0.010399847321622024,-0.010399847321622078,-0.010399847321622078,0.0,200.0,0.0,-0.010399847321622024
S2 Very strong,1,6,0.0008883837986364274,-0.01106064916714411,-0.011060649167144443,-0.0018498482961583518,-0.0021501529062385987,0.16666666666666666,1190.9149452730576,0.0,-0.013352814774337696
S5 Strong but cooling,1,3,-0.005940618538291642,-0.011904872775122977,-0.011904872775122977,-0.003982720539487263,-0.0031864881571010955,0.0,597.7630517546229,0.0,-0.011904872775122977
S4 Rapid strengthening,20,1,-0.010687142097243418,-0.01268714209724342,-0.012687142097243531,-0.012687142097243418,-0.012687142097243418,0.0,200.0,0.0,-0.012687142097243531
