rule,centered_month,information_month,entry_date,exit_date,horizon_days,ONI,dONI,strength,train_n,train_mean_spread,direction,direction_label,cop_return,xle_return,spread_return,model_gross_return,regime,xle_trailing_126d_return,xle_volatility_20d,is_test
S1 Strong level,2015-05,2015-07,2015-08-03,2015-08-03,1,1.0,0.09999999999999998,Strong 1.0–1.4,0,,,Insufficient training,-0.0018072289156625398,-0.010489510489510523,0.008682281573847983,,"Energy downtrend, high volatility",-0.0693224692962221,0.21192920053303027,False
S1 Strong level,2015-06,2015-08,2015-09-01,2015-09-01,1,1.2,0.19999999999999996,Strong 1.0–1.4,1,0.008682281573847983,,Insufficient training,-0.008719119784098006,-0.006664600123992392,-0.0020545196601056137,,"Energy downtrend, high volatility",-0.1452129243272421,0.40075746399513396,False
S1 Strong level,2015-07,2015-09,2015-10-01,2015-10-01,1,1.4,0.19999999999999996,Strong 1.0–1.4,2,0.0033138809568711847,,Insufficient training,-0.01088519203121796,-0.010648596321393922,-0.000236595709824039,,"Energy downtrend, high volatility",-0.1996255332129966,0.26339031097000015,False
S1 Strong level,2015-08,2015-10,2015-11-02,2015-11-02,1,1.7,0.30000000000000004,Very strong 1.5–1.9,3,0.0021303887346394434,1.0,Long COP / short XLE,0.03660377358490563,0.029577048210588597,0.007026725374317033,0.0035133626871585166,"Energy downtrend, high volatility",-0.16519570697879715,0.2467578911886116,False
S1 Strong level,2015-09,2015-11,2015-12-01,2015-12-01,1,2.0,0.30000000000000004,Extreme ≥2.0,4,0.003354472894558841,1.0,Long COP / short XLE,0.002754315093646653,0.007050528789659394,-0.004296213696012741,-0.0021481068480063703,"Energy downtrend, high volatility",-0.12365325094185686,0.25367759399563405,False
S1 Strong level,2015-10,2015-12,2016-01-04,2016-01-04,1,2.3,0.2999999999999998,Extreme ≥2.0,5,0.0018243355764445246,1.0,Long COP / short XLE,0.010127127774186784,0.002327127659574435,0.007800000114612349,0.0039000000573061744,"Energy downtrend, high volatility",-0.1770077704084153,0.31699869012749293,False
S1 Strong level,2015-11,2016-01,2016-02-01,2016-02-01,1,2.5,0.20000000000000018,Extreme ≥2.0,6,0.002820279666139162,1.0,Long COP / short XLE,0.009414225941422494,-8.735150244587597e-05,0.00950157744386837,0.004750788721934185,"Energy downtrend, high volatility",-0.16548689221475,0.45225457747446907,False
S1 Strong level,2015-12,2016-02,2016-03-01,2016-03-01,1,2.6,0.10000000000000009,Extreme ≥2.0,7,0.0037747507772433347,1.0,Long COP / short XLE,0.011447020839448152,0.01895401895401916,-0.007506998114571006,-0.003753499057285503,"Energy downtrend, high volatility",-0.10507829680825687,0.3239366461194944,False
S1 Strong level,2016-01,2016-03,2016-04-01,2016-04-01,1,2.5,-0.10000000000000009,Extreme ≥2.0,8,0.002364532165766542,1.0,Long COP / short XLE,0.00990099009900991,0.003946070371588339,0.00595491972742157,0.002977459863710785,"Energy uptrend, high volatility",0.05211410952349649,0.24815211344629062,False
S1 Strong level,2016-02,2016-04,2016-05-02,2016-05-02,1,2.2,-0.2999999999999998,Extreme ≥2.0,9,0.002763464117061545,1.0,Long COP / short XLE,-0.014928511354079022,0.0007420599584448961,-0.015670571312523918,-0.007835285656261959,"Energy uptrend, high volatility",0.020193141823793503,0.21604248566127512,False
S1 Strong level,2016-03,2016-05,2016-06-01,2016-06-01,1,1.7,-0.5000000000000002,Very strong 1.5–1.9,10,0.0009200605741029988,1.0,Long COP / short XLE,0.015909614941203687,0.01011778918755657,0.005791825753647117,0.0028959128768235587,"Energy uptrend, high volatility",0.0029164461998738567,0.1743690634882541,False
S1 Strong level,2016-04,2016-06,2016-07-01,2016-07-01,1,1.1,-0.5999999999999999,Strong 1.0–1.4,11,0.0013629483176979186,1.0,Long COP / short XLE,-0.007753705815279455,0.006455399061032763,-0.014209104876312217,-0.007104552438156109,"Energy uptrend, high volatility",0.15195116974877254,0.26911408964981987,False
S1 Strong level,2018-11,2019-01,2019-02-01,2019-02-01,1,1.0,0.19999999999999996,Strong 1.0–1.4,12,6.5277218197074e-05,1.0,Long COP / short XLE,0.004975124378109541,0.006514657980456029,-0.0015395336023464878,-0.0007697668011732439,"Energy downtrend, high volatility",-0.1594603867061406,0.20094214613750863,False
