state,month_name,enso_effect_c,p10_c,p90_c,residual_weather_sd_c,commercial_rate_cents_kwh,capacity_gw_2025_disclosed,capacity_status,central_incremental_cooling_mwh_per_100mw,central_incremental_spend_usd_per_100mw,low_incremental_spend_usd_per_100mw,high_incremental_spend_usd_per_100mw,central_cooling_spend_increase_pct,low_cooling_spend_increase_pct,high_cooling_spend_increase_pct,central_incremental_energy_mwh_disclosed_capacity,central_incremental_spend_usd_disclosed_capacity,low_incremental_spend_usd_disclosed_capacity,high_incremental_spend_usd_disclosed_capacity
North Dakota,December,3.968324754336633,2.293837529633488,5.783684774777688,3.431250658199916,8.02,1.09,Separately disclosed,2384.6579216059827,191249.5653127998,55274.6382413863,557478.1639903348,0.24802029714603957,0.0716824228010465,0.722960596847211,25992.77134550521,2084620.261909518,602493.5568311107,6076511.98749465
Minnesota,December,3.8580759450156483,2.2313089021075028,5.630640424526255,3.0782813566940472,13.68,,Included in paper's aggregate Others row,2318.406867881711,317158.0595262181,91713.79875378805,925747.9719857534,0.24112974656347802,0.06972840319085946,0.7038300530657818,,,,
Wisconsin,December,3.363399201469026,1.8473943369282682,4.966416053925086,2.741966755302186,14.05,,Included in paper's aggregate Others row,2021.144197067387,283970.7596879679,77987.46771891347,838625.9586097569,0.21021245009181413,0.05773107302900838,0.6208020067406358,,,,
South Dakota,December,2.834507063522079,1.4103332442066734,4.532078153142597,3.117236073096595,11.35,,Included in paper's aggregate Others row,1703.320706171883,193326.90015050874,48095.726729799135,618218.6891418032,0.17715669147012994,0.04407291388145854,0.5665097691428246,,,,
Iowa,December,2.8237311352647034,1.3463756882495326,4.35671009963527,2.8531753766429127,12.79,0.66,Separately disclosed,1696.8452022067586,217026.50136224442,51739.91275068554,669696.585886009,0.17648319595404396,0.04207424025779789,0.5445887624544088,11199.178334564607,1432374.9089908132,341483.4241545246,4419997.46684766
Michigan,December,2.5427224659609546,1.3892697325568513,3.790544520524021,2.290394909727646,16.63,0.127,Separately disclosed,1527.9806080066905,254103.1751115126,69417.29875258016,757604.819999644,0.15892015412255966,0.0434146791424016,0.4738180650655026,1940.535372168497,322711.03239162103,88159.9694157768,962158.1213995478
Illinois,December,2.394224318889324,1.0296841804874723,3.8080359886195208,2.695469641133795,14.53,1.746,Separately disclosed,1438.7446445510307,209049.59685326472,44952.98563272192,664990.6459833544,0.14963901993058276,0.03217763064023351,0.4760044985774401,25120.481493860992,3650005.961058002,784879.1291473247,11610736.678869369
Indiana,December,2.302394951489875,0.956380179481058,3.758356447967087,2.6723903599798167,14.15,0.061,Separately disclosed,1383.5622585414542,195774.05958361577,40660.797601461636,639150.7232107572,0.14389968446811718,0.029886880608783063,0.4697945559958859,843.9729777102871,119422.17634600561,24803.0865368916,389881.9411585619
Ohio,December,2.138576631944589,0.942808162635616,3.4748281863109316,2.583825071623421,13.77,0.892,Separately disclosed,1285.120049903933,176961.03087177157,39007.324283398026,575063.9642898737,0.13366103949653682,0.029462755082363,0.43435352328886645,11463.270845143084,1578492.3953762024,347945.3326079104,5129570.561465674
Montana,December,2.0739060511047867,0.6630126639301911,3.6975565468706253,3.0529383556212175,13.48,,Included in paper's aggregate Others row,1246.2580054792763,167995.57913860644,26853.481717228213,599036.9266325951,0.12961912819404917,0.020719145747818475,0.46219456835882816,,,,
New York,December,2.073141409238448,0.9023106354700349,3.39020470901044,2.4465741783906827,23.56,,Included in paper's aggregate Others row,1245.798514536212,293510.1300247315,63873.43158535287,959953.2579088644,0.129571338077403,0.02819720735843859,0.423775588626305,,,,
