state,enso_effect_c,p10_c,p90_c,dec_normal_c,implied_dec_mean_c,implied_dec_p90_mean_c,capacity_2025_gw,capacity_2030_gw,weather_driven_capex_central_usd,audit_screen_usd_low,audit_screen_usd_central,audit_screen_usd_high,audit_screen_usd_per_100mw_low,audit_screen_usd_per_100mw_central,audit_screen_usd_per_100mw_high,pipeline_increment_gw,pipeline_cooling_basis_usd,central_incremental_spend_usd_per_100mw,central_incremental_spend_usd_disclosed_capacity,operator_examples
North Dakota,3.968324754336633,2.293837529633488,5.783684774777688,-9.116666666663333,-5.1483419123267,-3.3329818918856446,1.09,2.422,0.0,558292.6829268293,1382439.0243902442,6699512.195121952,51219.512195121955,126829.26829268294,614634.1463414634,1.332,3378731707.3170733,191249.5653127998,2084620.261909518,No named operator validated in the cited project sources
Minnesota,3.8580759450156483,2.2313089021075028,5.630640424526255,-8.624074074073333,-4.765998129057684,-2.993433649547078,,,0.0,,,,51219.512195121955,126829.26829268294,614634.1463414634,,,317158.0595262181,,Meta Rosemount; Google Hermantown and Pine Island in development
Wisconsin,3.363399201469026,1.8473943369282682,4.966416053925086,-5.90185185185,-2.538452650380974,-0.9354357979249137,,,0.0,,,,51219.512195121955,126829.26829268294,614634.1463414634,,,283970.7596879679,,Microsoft Mount Pleasant campus
South Dakota,2.834507063522079,1.4103332442066734,4.532078153142597,-5.557407407406667,-2.722900343884588,-1.0253292542640704,,,0.0,,,,51219.512195121955,126829.26829268294,614634.1463414634,,,193326.9001505087,,No named operator validated in the cited project sources
Iowa,2.8237311352647034,1.3463756882495326,4.35671009963527,-3.89259259259,-1.0688614573252964,0.46411750704527055,0.66,2.6,0.0,338048.7804878049,837073.1707317075,4056585.3658536593,51219.512195121955,126829.26829268294,614634.1463414634,1.94,4920975609.756098,217026.5013622444,1432374.9089908132,Meta Altoona; Google Council Bluffs; Google Cedar Rapids in development
Michigan,2.5427224659609546,1.3892697325568513,3.790544520524021,-3.21851851852,-0.6757960525590452,0.5720260020040211,0.127,1.531,0.0,65048.78048780488,161073.17073170733,780585.3658536586,51219.512195121955,126829.26829268294,614634.1463414634,1.404,3561365853.658537,254103.1751115126,322711.03239162103,Google Van Buren Township in development
Illinois,2.394224318889324,1.0296841804874723,3.8080359886195208,-0.23518518517666673,2.1590391337126573,3.572850803442854,1.746,7.079,0.0,894292.6829268294,2214439.0243902444,10731512.195121953,51219.512195121955,126829.26829268294,614634.1463414634,5.333,13527609756.09756,209049.59685326472,3650005.961058002,Meta DeKalb; broad colocation market
Indiana,2.302394951489875,0.956380179481058,3.758356447967087,0.29074074074000006,2.593135692229875,4.049097188707087,0.061,4.861,0.0,31243.902439024394,77365.8536585366,374926.8292682927,51219.512195121955,126829.26829268294,614634.1463414634,4.8,12175609756.09756,195774.05958361577,119422.1763460056,Meta Jeffersonville and Lebanon; Google Fort Wayne and three projects in development
Ohio,2.138576631944589,0.942808162635616,3.4748281863109316,0.55925925925,2.697835891194589,4.034087445560932,0.892,9.726,0.0,456878.0487804878,1131317.0731707315,5482536.585365854,51219.512195121955,126829.26829268294,614634.1463414634,8.834000000000001,22408195121.951225,176961.03087177157,1578492.3953762024,"Meta New Albany and Bowling Green; Google Columbus, Lancaster and New Albany"
Montana,2.0739060511047867,0.6630126639301911,3.6975565468706253,-5.5129629629600005,-3.439056911855214,-1.8154064160893753,,,0.0,,,,51219.512195121955,126829.26829268294,614634.1463414634,,,167995.57913860644,,No named operator validated in the cited project sources
New York,2.073141409238448,0.9023106354700349,3.39020470901044,-2.3129629629633333,-0.23982155372488512,1.0772417460471067,,,0.0,,,,51219.512195121955,126829.26829268294,614634.1463414634,,,293510.1300247315,,Large operating market; no project-level vendor match validated
