ticker,company,subsector,benchmark,signal,horizon_months,n,r,slope,hac_t,p,confidence,q_bh_global,q_bh_family,p_over_50pct
PSX,Phillips 66,Refining,SPY,ONI,12,159,-0.44217666982435744,-0.13485509854191408,-3.5378263806647388,0.0005307817119298044,0.9994692182880702,0.038932407888236945,0.03612116316183795,False
MPC,Marathon Petroleum,Refining,SPY,ONI,6,175,-0.4046831289361701,-0.11459137547745879,-3.376839186019567,0.0009055939920107519,0.9990944060079893,0.038932407888236945,0.03612116316183795,False
SLB,SLB,Oilfield services,SPY,dONI,3,272,-0.2683363763836951,-0.2139184587701122,-3.1188416806248496,0.002012143221844063,0.9979878567781559,0.04414546560228105,0.044267150880569386,False
COP,ConocoPhillips,Exploration & production,SPY,ONI,6,164,-0.4479866430885397,-0.11332006593694298,-2.9153033621739093,0.004056972699098674,0.9959430273009013,0.06196103758623429,0.05653490886062754,False
XLE,Energy Select Sector SPDR,Sector ETF,SPY,dONI,3,272,-0.21487972367127256,-0.11526620018946526,-2.7824044130164793,0.005776380944636157,0.9942236190553638,0.06938375178349744,0.05653490886062754,False
OXY,Occidental Petroleum,Exploration & production,SPY,ONI,3,272,-0.2199601450924924,-0.050967386221945465,-2.601076263765836,0.009805552728065067,0.990194447271935,0.08385685068609408,0.07320836171008215,False
WMB,Williams,Midstream,SPY,dONI,6,269,-0.2580698790933046,-0.2799436797078917,-2.5949693023829736,0.0099829584150112,0.9900170415849888,0.08385685068609408,0.07320836171008215,False
XOM,Exxon Mobil,Integrated,SPY,ONI,6,269,-0.25998788163882375,-0.052606403205127425,-2.306109846333806,0.02187077617399147,0.9781292238260085,0.10337346742261923,0.0968120590560478,False
KMI,Kinder Morgan,Midstream,SPY,dONI,3,183,-0.24005021942953264,-0.15431156273042448,-2.252388435270619,0.025498850014534096,0.9745011499854659,0.10561315533387033,0.0968120590560478,False
EOG,EOG Resources,Exploration & production,SPY,dONI,6,269,-0.15466172627156666,-0.18385358063862875,-1.9459992391759786,0.0527039265318204,0.9472960734681796,0.1670615029687892,0.13251272956571988,False
CVX,Chevron,Integrated,SPY,ONI,3,272,-0.13614860137925233,-0.017454319900567644,-1.5304922068257572,0.1270656965058732,0.8729343034941268,0.32039710466449567,0.27029738432259365,False
