ticker,company,subsector,benchmark,signal,horizon_months,n,r,slope,hac_t,p,confidence,q_bh_global,q_bh_family,p_over_50pct
COP,ConocoPhillips,Exploration & production,XLE,ONI,6,164,-0.477944905242279,-0.0552388311336012,-4.4140272501651925,1.8458817756600427e-05,0.9999815411822434,0.0031010813831088718,0.001476705420528034,False
PSX,Phillips 66,Refining,XLE,dONI,3,168,0.28538849912523556,0.14995396566347297,3.3724859949500656,0.0009269620925770701,0.999073037907423,0.038932407888236945,0.0370784837030828,False
CVX,Chevron,Integrated,XLE,dONI,3,272,0.2485211982616696,0.07528036220283027,2.69508905853834,0.0074784884582475815,0.9925215115417524,0.0785241288115996,0.0867650200998572,False
OXY,Occidental Petroleum,Exploration & production,XLE,ONI,6,269,-0.26131179156208717,-0.04958458994174771,-2.6085308320507963,0.009605511829238328,0.9903944881707617,0.08385685068609408,0.0867650200998572,False
XOM,Exxon Mobil,Integrated,XLE,dONI,3,272,0.2429465707759231,0.08392297683877432,2.487364448872295,0.013473408199825423,0.9865265918001745,0.08807406767934843,0.0867650200998572,False
MPC,Marathon Petroleum,Refining,XLE,ONI,6,175,-0.2920410911422119,-0.06258983419103223,-2.450209792697786,0.01527278659145448,0.9847272134085455,0.08807406767934843,0.0867650200998572,False
SLB,SLB,Oilfield services,XLE,dONI,6,269,-0.23096338768100752,-0.14694151087081245,-2.4351264224226874,0.0155416977024866,0.9844583022975134,0.08807406767934843,0.0867650200998572,False
WMB,Williams,Midstream,XLE,dONI,6,269,-0.12920689713850697,-0.1215147065031404,-1.103179690704879,0.27094244434616216,0.7290575556538379,0.5197614021438798,0.660735451243302,False
KMI,Kinder Morgan,Midstream,XLE,dONI,3,183,-0.10146145067657321,-0.06420240685499637,-0.869788239924373,0.38556813517976285,0.6144318648202372,0.6288878321378656,0.8080159546807664,False
EOG,EOG Resources,Exploration & production,XLE,ONI,12,263,0.058120322185483075,0.01464527531709642,0.6571241468374904,0.5116801277996894,0.4883198722003106,0.7135078541817728,0.9126359565239053,True
