episode_start,episode_end,peak_month,peak_oni,first_decline_center_month,confirmation_decision_month,trade_start_month
1992-01,1992-06,1992-01,1.5,1992-03,1992-05,1992-06
1994-09,1995-03,1994-12,1.0,1995-01,1995-03,1995-04
1997-05,1998-04,1997-12,2.4,1998-01,1998-03,1998-04
2002-06,2003-02,2002-11,1.2,2002-12,2003-02,2003-03
2004-08,2005-02,2004-12,0.7,2005-01,2005-03,2005-04
2006-09,2007-01,2006-11,0.9,2007-01,2007-03,2007-04
2009-07,2010-03,2009-12,1.5,2010-02,2010-04,2010-05
2014-10,2016-05,2015-12,2.6,2016-01,2016-03,2016-04
2018-09,2019-06,2018-12,1.1,2019-01,2019-03,2019-04
2019-10,2020-03,2019-12,0.8,2020-01,2020-03,2020-04
2023-05,2024-04,2023-12,2.0,2024-01,2024-03,2024-04
