ticker,company,start,end,calendar_months,active_months,cumulative_return,annual_return,annual_vol,sharpe,max_drawdown,hac_t,p,confidence,oos_events
SLB,SLB,2010-05,2026-07,195,30,-0.5348593747275971,-0.04601038396922863,0.11051581365238129,-0.42620590393522995,-0.5593290672899982,-1.7108803351007613,0.08870163747768382,0.9112983625223162,5
KMI,Kinder Morgan,2020-04,2026-07,76,12,-0.38103587352964596,-0.07294590704673565,0.07467078065354393,-1.014364142913867,-0.36598737096077827,-1.5566538430877055,0.12376267600015403,0.876237323999846,2
PSX,Phillips 66,2020-04,2026-07,76,12,0.7672603436265015,0.0940759021079578,0.14317346799485006,0.6279800524978638,-0.03278008172748892,1.413342329515967,0.16169215904499246,0.8383078409550075,2
XLE,Energy Select Sector SPDR,2010-05,2026-07,195,30,-0.37097119190019057,-0.02812481248812504,0.07449319046962073,-0.3829597107661421,-0.4121510155550231,-1.3649885829650166,0.17383755446953927,0.8261624455304607,5
COP,ConocoPhillips,2020-04,2026-07,76,12,0.572964491060965,0.07413998092695495,0.13077332013797674,0.5469030194907052,-0.031523555825539895,1.3474564139166783,0.18188994184649,0.81811005815351,2
CVX,Chevron,2010-05,2026-07,195,30,-0.33702660812135976,-0.024976362279668707,0.07337017438276895,-0.3447390533718323,-0.41119662664371026,-1.2625000123398957,0.20828441416668028,0.7917155858333197,5
MPC,Marathon Petroleum,2020-04,2026-07,76,12,-0.28201510774795524,-0.050966890694908895,0.127802545429108,-0.409315731390155,-0.4628142737409866,-0.9174292405710168,0.3618585921986594,0.6381414078013405,2
WMB,Williams,2010-05,2026-07,195,30,0.630583905720544,0.030545736388730926,0.10377389802604425,0.28994288209003904,-0.20239990702462607,0.8460997667380703,0.398539508371418,0.601460491628582,5
EOG,EOG Resources,2010-05,2026-07,195,30,-0.3183943701071571,-0.023311920180536627,0.11142314955475346,-0.21169695205985914,-0.4768668364985842,-0.7343211437690488,0.46363964746467007,0.53636035253533,5
XOM,Exxon Mobil,2010-05,2026-07,195,30,0.2250068434048802,0.012567324482104958,0.07313145283495462,0.17077482559821988,-0.3025636977240991,0.5396615180571509,0.590049358404289,0.40995064159571104,5
OXY,Occidental Petroleum,2010-05,2026-07,195,30,0.2192951485305068,0.012276152879559632,0.18231987778712722,0.06692310311047514,-0.5579743283193193,0.27975880727850316,0.7799606104597424,0.2200393895402576,5
