peak_month,peak_oni,ticker,company,subsector,benchmark,horizon_months,relative_total_return
2004-12,0.7,XOM,Exxon Mobil,Integrated,SPY,1,0.029719979997627988
2004-12,0.7,XOM,Exxon Mobil,Integrated,SPY,3,0.19721686287882
2004-12,0.7,XOM,Exxon Mobil,Integrated,SPY,6,0.14843292991907497
2004-12,0.7,XOM,Exxon Mobil,Integrated,SPY,12,0.0851831773310936
2004-12,0.7,XOM,Exxon Mobil,Integrated,XLE,1,-0.026340740632986304
2004-12,0.7,XOM,Exxon Mobil,Integrated,XLE,3,-0.010122567070038668
2004-12,0.7,XOM,Exxon Mobil,Integrated,XLE,6,-0.07473833215612136
2004-12,0.7,XOM,Exxon Mobil,Integrated,XLE,12,-0.1929874544329928
2004-12,0.7,CVX,Chevron,Integrated,SPY,1,0.059753650431481065
2004-12,0.7,CVX,Chevron,Integrated,SPY,3,0.15366343704733731
2004-12,0.7,CVX,Chevron,Integrated,SPY,6,0.11482780415064564
2004-12,0.7,CVX,Chevron,Integrated,SPY,12,0.11716636089787191
2004-12,0.7,CVX,Chevron,Integrated,XLE,1,0.0020578161385020888
2004-12,0.7,CVX,Chevron,Integrated,XLE,3,-0.046133213673950846
2004-12,0.7,CVX,Chevron,Integrated,XLE,6,-0.10181308237143538
2004-12,0.7,CVX,Chevron,Integrated,XLE,12,-0.16920268617935852
2004-12,0.7,COP,ConocoPhillips,Exploration & production,SPY,1,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,SPY,3,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,SPY,6,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,SPY,12,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,XLE,1,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,XLE,3,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,XLE,6,
2004-12,0.7,COP,ConocoPhillips,Exploration & production,XLE,12,
2004-12,0.7,EOG,EOG Resources,Exploration & production,SPY,1,0.06531765814027346
2004-12,0.7,EOG,EOG Resources,Exploration & production,SPY,3,0.40098635886171796
2004-12,0.7,EOG,EOG Resources,Exploration & production,SPY,6,0.6173156655129295
2004-12,0.7,EOG,EOG Resources,Exploration & production,SPY,12,1.0021751369254615
2004-12,0.7,EOG,EOG Resources,Exploration & production,XLE,1,0.007318904327610953
2004-12,0.7,EOG,EOG Resources,Exploration & production,XLE,3,0.1583572061833718
2004-12,0.7,EOG,EOG Resources,Exploration & production,XLE,6,0.303027935822054
2004-12,0.7,EOG,EOG Resources,Exploration & production,XLE,12,0.4889472005040185
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,SPY,1,0.023285563701685108
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,SPY,3,0.25492213751391035
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,SPY,6,0.348239977754794
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,SPY,12,0.3507500132194046
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,XLE,1,-0.03242485002861162
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,XLE,3,0.037589047169129586
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,XLE,6,0.08624085740827603
2004-12,0.7,OXY,Occidental Petroleum,Exploration & production,XLE,12,0.0045052571435826305
2004-12,0.7,SLB,SLB,Oilfield services,SPY,1,0.039589210311154366
2004-12,0.7,SLB,SLB,Oilfield services,SPY,3,0.08170221689433177
2004-12,0.7,SLB,SLB,Oilfield services,SPY,6,0.1535695930752301
2004-12,0.7,SLB,SLB,Oilfield services,SPY,12,0.4190194887145957
2004-12,0.7,SLB,SLB,Oilfield services,XLE,1,-0.01700881771777507
2004-12,0.7,SLB,SLB,Oilfield services,XLE,3,-0.10563186432298954
2004-12,0.7,SLB,SLB,Oilfield services,XLE,6,-0.0705998601607638
2004-12,0.7,SLB,SLB,Oilfield services,XLE,12,0.05527486392959835
2004-12,0.7,MPC,Marathon Petroleum,Refining,SPY,1,
2004-12,0.7,MPC,Marathon Petroleum,Refining,SPY,3,
2004-12,0.7,MPC,Marathon Petroleum,Refining,SPY,6,
2004-12,0.7,MPC,Marathon Petroleum,Refining,SPY,12,
2004-12,0.7,MPC,Marathon Petroleum,Refining,XLE,1,
2004-12,0.7,MPC,Marathon Petroleum,Refining,XLE,3,
2004-12,0.7,MPC,Marathon Petroleum,Refining,XLE,6,
2004-12,0.7,MPC,Marathon Petroleum,Refining,XLE,12,
2004-12,0.7,PSX,Phillips 66,Refining,SPY,1,
2004-12,0.7,PSX,Phillips 66,Refining,SPY,3,
2004-12,0.7,PSX,Phillips 66,Refining,SPY,6,
2004-12,0.7,PSX,Phillips 66,Refining,SPY,12,
2004-12,0.7,PSX,Phillips 66,Refining,XLE,1,
2004-12,0.7,PSX,Phillips 66,Refining,XLE,3,
2004-12,0.7,PSX,Phillips 66,Refining,XLE,6,
2004-12,0.7,PSX,Phillips 66,Refining,XLE,12,
2004-12,0.7,KMI,Kinder Morgan,Midstream,SPY,1,
2004-12,0.7,KMI,Kinder Morgan,Midstream,SPY,3,
2004-12,0.7,KMI,Kinder Morgan,Midstream,SPY,6,
2004-12,0.7,KMI,Kinder Morgan,Midstream,SPY,12,
2004-12,0.7,KMI,Kinder Morgan,Midstream,XLE,1,
2004-12,0.7,KMI,Kinder Morgan,Midstream,XLE,3,
2004-12,0.7,KMI,Kinder Morgan,Midstream,XLE,6,
2004-12,0.7,KMI,Kinder Morgan,Midstream,XLE,12,
2004-12,0.7,WMB,Williams,Midstream,SPY,1,0.05558854554363979
2004-12,0.7,WMB,Williams,Midstream,SPY,3,0.1863244551389176
2004-12,0.7,WMB,Williams,Midstream,SPY,6,0.18922361624636386
2004-12,0.7,WMB,Williams,Midstream,SPY,12,0.3975950065247038
2004-12,0.7,WMB,Williams,Midstream,XLE,1,-0.0018805292554474606
2004-12,0.7,WMB,Williams,Midstream,XLE,3,-0.01912857838370685
2004-12,0.7,WMB,Williams,Midstream,XLE,6,-0.04187436815750689
2004-12,0.7,WMB,Williams,Midstream,XLE,12,0.03934223036994222
2004-12,0.7,XLE,Energy Select Sector SPDR,Sector ETF,SPY,1,0.05757735069151382
2004-12,0.7,XLE,Energy Select Sector SPDR,Sector ETF,SPY,3,0.20945969980864176
2004-12,0.7,XLE,Energy Select Sector SPDR,Sector ETF,SPY,6,0.24119799817844867
2004-12,0.7,XLE,Energy Select Sector SPDR,Sector ETF,SPY,12,0.3446918307430322
2006-11,0.9,XOM,Exxon Mobil,Integrated,SPY,1,-0.010022061197083598
2006-11,0.9,XOM,Exxon Mobil,Integrated,SPY,3,-0.0654745105282919
2006-11,0.9,XOM,Exxon Mobil,Integrated,SPY,6,-0.002953702181093143
2006-11,0.9,XOM,Exxon Mobil,Integrated,SPY,12,0.10108486626910063
2006-11,0.9,XOM,Exxon Mobil,Integrated,XLE,1,0.02964690689548677
2006-11,0.9,XOM,Exxon Mobil,Integrated,XLE,3,-0.0033551118039818473
2006-11,0.9,XOM,Exxon Mobil,Integrated,XLE,6,-0.03561674917084301
2006-11,0.9,XOM,Exxon Mobil,Integrated,XLE,12,-0.03665598479712595
2006-11,0.9,CVX,Chevron,Integrated,SPY,1,0.008905767475094972
2006-11,0.9,CVX,Chevron,Integrated,SPY,3,-0.041597412646624976
2006-11,0.9,CVX,Chevron,Integrated,SPY,6,0.05872315619779367
2006-11,0.9,CVX,Chevron,Integrated,SPY,12,0.19799912498101757
2006-11,0.9,CVX,Chevron,Integrated,XLE,1,0.04933318421811328
2006-11,0.9,CVX,Chevron,Integrated,XLE,3,0.022109134829003896
2006-11,0.9,CVX,Chevron,Integrated,XLE,6,0.024039587063970025
2006-11,0.9,CVX,Chevron,Integrated,XLE,12,0.048134728414920946
2006-11,0.9,COP,ConocoPhillips,Exploration & production,SPY,1,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,SPY,3,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,SPY,6,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,SPY,12,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,XLE,1,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,XLE,3,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,XLE,6,
2006-11,0.9,COP,ConocoPhillips,Exploration & production,XLE,12,
2006-11,0.9,EOG,EOG Resources,Exploration & production,SPY,1,-0.12137609500629087
2006-11,0.9,EOG,EOG Resources,Exploration & production,SPY,3,-0.04132409795296632
2006-11,0.9,EOG,EOG Resources,Exploration & production,SPY,6,-0.0023974986213903815
2006-11,0.9,EOG,EOG Resources,Exploration & production,SPY,12,0.10013530295470519
2006-11,0.9,EOG,EOG Resources,Exploration & production,XLE,1,-0.08616914514768015
2006-11,0.9,EOG,EOG Resources,Exploration & production,XLE,3,0.02240061718595676
2006-11,0.9,EOG,EOG Resources,Exploration & production,XLE,6,-0.035078766733916855
2006-11,0.9,EOG,EOG Resources,Exploration & production,XLE,12,-0.0374867619370195
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,SPY,1,-0.03325675476963219
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,SPY,3,-0.08243918444094722
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,SPY,6,0.00611333702630712
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,SPY,12,0.3157673965308243
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,XLE,1,0.0054811861941068685
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,XLE,3,-0.021447454629770712
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,XLE,6,-0.026846744442520665
2006-11,0.9,OXY,Occidental Petroleum,Exploration & production,XLE,12,0.1511707096129098
2006-11,0.9,SLB,SLB,Oilfield services,SPY,1,-0.0831092415209086
2006-11,0.9,SLB,SLB,Oilfield services,SPY,3,-0.0813515108293883
2006-11,0.9,SLB,SLB,Oilfield services,SPY,6,0.04290483228478981
2006-11,0.9,SLB,SLB,Oilfield services,SPY,12,0.28443422598915724
2006-11,0.9,SLB,SLB,Oilfield services,XLE,1,-0.04636891750271788
2006-11,0.9,SLB,SLB,Oilfield services,XLE,3,-0.020287481619726044
2006-11,0.9,SLB,SLB,Oilfield services,XLE,6,0.008739468432305442
2006-11,0.9,SLB,SLB,Oilfield services,XLE,12,0.12375718024443971
2006-11,0.9,MPC,Marathon Petroleum,Refining,SPY,1,
2006-11,0.9,MPC,Marathon Petroleum,Refining,SPY,3,
2006-11,0.9,MPC,Marathon Petroleum,Refining,SPY,6,
2006-11,0.9,MPC,Marathon Petroleum,Refining,SPY,12,
2006-11,0.9,MPC,Marathon Petroleum,Refining,XLE,1,
2006-11,0.9,MPC,Marathon Petroleum,Refining,XLE,3,
2006-11,0.9,MPC,Marathon Petroleum,Refining,XLE,6,
2006-11,0.9,MPC,Marathon Petroleum,Refining,XLE,12,
2006-11,0.9,PSX,Phillips 66,Refining,SPY,1,
2006-11,0.9,PSX,Phillips 66,Refining,SPY,3,
2006-11,0.9,PSX,Phillips 66,Refining,SPY,6,
2006-11,0.9,PSX,Phillips 66,Refining,SPY,12,
2006-11,0.9,PSX,Phillips 66,Refining,XLE,1,
2006-11,0.9,PSX,Phillips 66,Refining,XLE,3,
2006-11,0.9,PSX,Phillips 66,Refining,XLE,6,
2006-11,0.9,PSX,Phillips 66,Refining,XLE,12,
2006-11,0.9,KMI,Kinder Morgan,Midstream,SPY,1,
2006-11,0.9,KMI,Kinder Morgan,Midstream,SPY,3,
2006-11,0.9,KMI,Kinder Morgan,Midstream,SPY,6,
2006-11,0.9,KMI,Kinder Morgan,Midstream,SPY,12,
2006-11,0.9,KMI,Kinder Morgan,Midstream,XLE,1,
2006-11,0.9,KMI,Kinder Morgan,Midstream,XLE,3,
2006-11,0.9,KMI,Kinder Morgan,Midstream,XLE,6,
2006-11,0.9,KMI,Kinder Morgan,Midstream,XLE,12,
2006-11,0.9,WMB,Williams,Midstream,SPY,1,-0.06329384189895926
2006-11,0.9,WMB,Williams,Midstream,SPY,3,-0.028076042662462664
2006-11,0.9,WMB,Williams,Midstream,SPY,6,0.05485326277849856
2006-11,0.9,WMB,Williams,Midstream,SPY,12,0.1821026311462306
2006-11,0.9,WMB,Williams,Midstream,XLE,1,-0.025759503767388225
2006-11,0.9,WMB,Williams,Midstream,XLE,3,0.036529291826262966
2006-11,0.9,WMB,Williams,Midstream,XLE,6,0.020296470616693485
2006-11,0.9,WMB,Williams,Midstream,XLE,12,0.034226815712115055
2006-11,0.9,XLE,Energy Select Sector SPDR,Sector ETF,SPY,1,-0.03852676857174009
2006-11,0.9,XLE,Energy Select Sector SPDR,Sector ETF,SPY,3,-0.06232851787034155
2006-11,0.9,XLE,Energy Select Sector SPDR,Sector ETF,SPY,6,0.033869363618319825
2006-11,0.9,XLE,Energy Select Sector SPDR,Sector ETF,SPY,12,0.14298199697355174
2009-12,1.5,XOM,Exxon Mobil,Integrated,SPY,1,-0.019506538378568195
2009-12,1.5,XOM,Exxon Mobil,Integrated,SPY,3,-0.062183803123024295
2009-12,1.5,XOM,Exxon Mobil,Integrated,SPY,6,-0.09243120304133112
2009-12,1.5,XOM,Exxon Mobil,Integrated,SPY,12,-0.04282888236918925
2009-12,1.5,XOM,Exxon Mobil,Integrated,XLE,1,-0.011624481514817098
2009-12,1.5,XOM,Exxon Mobil,Integrated,XLE,3,-0.023525065532940648
2009-12,1.5,XOM,Exxon Mobil,Integrated,XLE,6,-0.03455329363483073
2009-12,1.5,XOM,Exxon Mobil,Integrated,XLE,12,-0.09564904794789175
2009-12,1.5,CVX,Chevron,Integrated,SPY,1,-0.027927494680335063
2009-12,1.5,CVX,Chevron,Integrated,SPY,3,-0.04775342698587148
2009-12,1.5,CVX,Chevron,Integrated,SPY,6,-0.020612711557107866
