ticker,company,subsector,benchmark,horizon_months,mean_return,p,n_events,confidence,q_bh
XOM,Exxon Mobil,Integrated,SPY,1,-0.007287989156654391,0.7195437757471299,7,0.2804562242528701,0.9430598274107089
XOM,Exxon Mobil,Integrated,SPY,3,-0.008430345689357457,0.8949358521676729,7,0.10506414783232709,0.9715277550339889
XOM,Exxon Mobil,Integrated,SPY,6,-0.013653914098048614,0.833163969019247,7,0.16683603098075295,0.9715277550339889
XOM,Exxon Mobil,Integrated,SPY,12,-0.07700224111504805,0.3481773141284508,7,0.6518226858715492,0.9430598274107089
XOM,Exxon Mobil,Integrated,XLE,1,0.003811864418601945,0.7409755786798428,7,0.25902442132015724,0.9430598274107089
XOM,Exxon Mobil,Integrated,XLE,3,0.027195470013787304,0.17505201558471573,7,0.8249479844152843,0.8182771312535971
XOM,Exxon Mobil,Integrated,XLE,6,0.0021241776483350255,0.918589572865335,7,0.08141042713466495,0.9715277550339889
XOM,Exxon Mobil,Integrated,XLE,12,-0.061116156402270416,0.07185355147477897,7,0.928146448525221,0.7323308536013354
CVX,Chevron,Integrated,SPY,1,-0.015663145352703172,0.45814055988121877,7,0.5418594401187813,0.9430598274107089
CVX,Chevron,Integrated,SPY,3,-0.0206925025952179,0.6691862899514652,7,0.33081371004853477,0.9430598274107089
CVX,Chevron,Integrated,SPY,6,0.0003252682035346074,0.9946354201070168,7,0.005364579892983223,0.9946354201070168
CVX,Chevron,Integrated,SPY,12,-0.005844348353411966,0.947419894138414,7,0.05258010586158601,0.9715277550339889
CVX,Chevron,Integrated,XLE,1,-0.004671837258921111,0.6970677846750936,7,0.30293221532490644,0.9430598274107089
CVX,Chevron,Integrated,XLE,3,0.023149376547141238,0.551886957062642,7,0.448113042937358,0.9430598274107089
CVX,Chevron,Integrated,XLE,6,0.024311946799581485,0.4563405308109715,7,0.5436594691890285,0.9430598274107089
CVX,Chevron,Integrated,XLE,12,0.012085858767830368,0.736352771189366,7,0.26364722881063396,0.9430598274107089
COP,ConocoPhillips,Exploration & production,SPY,1,-0.06275284172487053,0.09899619930561858,4,0.9010038006943815,0.7323308536013354
COP,ConocoPhillips,Exploration & production,SPY,3,-0.15061117984791683,0.19523460570060097,4,0.8047653942993991,0.8182771312535971
COP,ConocoPhillips,Exploration & production,SPY,6,-0.17693810038864002,0.03945962394727708,4,0.9605403760527229,0.7323308536013354
COP,ConocoPhillips,Exploration & production,SPY,12,-0.24006075284257375,0.08189085762581265,4,0.9181091423741874,0.7323308536013354
COP,ConocoPhillips,Exploration & production,XLE,1,-0.04022921874286822,0.31465478928809176,4,0.6853452107119082,0.9430598274107089
COP,ConocoPhillips,Exploration & production,XLE,3,-0.07416230746786859,0.09021258559183962,4,0.9097874144081604,0.7323308536013354
COP,ConocoPhillips,Exploration & production,XLE,6,-0.09741204494730815,0.08470893811141432,4,0.9152910618885857,0.7323308536013354
COP,ConocoPhillips,Exploration & production,XLE,12,-0.10085973404740298,0.0479188643170172,4,0.9520811356829828,0.7323308536013354
EOG,EOG Resources,Exploration & production,SPY,1,-0.02414626028578872,0.4789978000978276,7,0.5210021999021723,0.9430598274107089
EOG,EOG Resources,Exploration & production,SPY,3,-0.03652122816713578,0.7147851753124856,7,0.28521482468751436,0.9430598274107089
EOG,EOG Resources,Exploration & production,SPY,6,0.042332786380959594,0.7232421665103809,7,0.27675783348961913,0.9430598274107089
EOG,EOG Resources,Exploration & production,SPY,12,0.04344956707091737,0.8223498821017031,7,0.17765011789829688,0.9715277550339889
EOG,EOG Resources,Exploration & production,XLE,1,-0.014778363248588056,0.40858129965259865,7,0.5914187003474014,0.9430598274107089
EOG,EOG Resources,Exploration & production,XLE,3,-0.01860032615717509,0.6108784727137843,7,0.38912152728621574,0.9430598274107089
EOG,EOG Resources,Exploration & production,XLE,6,0.04258158237175288,0.44415153537601193,7,0.5558484646239881,0.9430598274107089
EOG,EOG Resources,Exploration & production,XLE,12,0.01740134476116273,0.8506473937205579,7,0.14935260627944213,0.9715277550339889
OXY,Occidental Petroleum,Exploration & production,SPY,1,-0.0026672061579592027,0.8723244414594511,7,0.1276755585405489,0.9715277550339889
OXY,Occidental Petroleum,Exploration & production,SPY,3,-0.07396496439290282,0.4997104277124943,7,0.5002895722875057,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,SPY,6,-0.059311939420918024,0.5967342851674129,7,0.4032657148325871,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,SPY,12,-0.09997623292320613,0.5135790511673838,7,0.4864209488326162,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,XLE,1,0.009379613052951066,0.5965045709086029,7,0.40349542909139713,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,XLE,3,-0.0680849636594445,0.2946621628190686,7,0.7053378371809313,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,XLE,6,-0.0639093983543685,0.31526723993223493,7,0.6847327600677651,0.9430598274107089
OXY,Occidental Petroleum,Exploration & production,XLE,12,-0.12801327549651623,0.1307733667145242,7,0.8692266332854758,0.7323308536013354
SLB,SLB,Oilfield services,SPY,1,-0.007402254545715271,0.8603978649201365,7,0.13960213507986352,0.9715277550339889
SLB,SLB,Oilfield services,SPY,3,-0.08034347586184018,0.39045146182011214,7,0.6095485381798879,0.9430598274107089
SLB,SLB,Oilfield services,SPY,6,-0.07800725033882364,0.4005112139284829,7,0.5994887860715171,0.9430598274107089
SLB,SLB,Oilfield services,SPY,12,-0.012421476617925396,0.9277779364887518,7,0.07222206351124816,0.9715277550339889
SLB,SLB,Oilfield services,XLE,1,0.0013062463807125121,0.9599619484264416,7,0.04003805157355844,0.9715277550339889
SLB,SLB,Oilfield services,XLE,3,-0.0652250508057366,0.2045692828133993,7,0.7954307171866006,0.8182771312535971
SLB,SLB,Oilfield services,XLE,6,-0.07691852189731352,0.11592563126019811,7,0.8840743687398018,0.7323308536013354
SLB,SLB,Oilfield services,XLE,12,-0.026424459360804127,0.652166709308251,7,0.34783329069174895,0.9430598274107089
MPC,Marathon Petroleum,Refining,SPY,1,-0.027093496776515014,0.672386556638771,4,0.327613443361229,0.9430598274107089
MPC,Marathon Petroleum,Refining,SPY,3,-0.16403381706780942,0.37420980842523993,4,0.6257901915747601,0.9430598274107089
MPC,Marathon Petroleum,Refining,SPY,6,-0.19563957850703317,0.09257461819462999,4,0.90742538180537,0.7323308536013354
MPC,Marathon Petroleum,Refining,SPY,12,-0.22764640081391704,0.03156726712158345,4,0.9684327328784166,0.7323308536013354
MPC,Marathon Petroleum,Refining,XLE,1,-0.004186765288334754,0.9482008217191366,4,0.051799178280863445,0.9715277550339889
MPC,Marathon Petroleum,Refining,XLE,3,-0.10403593818977261,0.4081823293943373,4,0.5918176706056627,0.9430598274107089
MPC,Marathon Petroleum,Refining,XLE,6,-0.11258300904859611,0.3007001054503741,4,0.6992998945496258,0.9430598274107089
MPC,Marathon Petroleum,Refining,XLE,12,-0.06918988723019157,0.33327543318264535,4,0.6667245668173547,0.9430598274107089
PSX,Phillips 66,Refining,SPY,1,-0.014022150339139866,0.8182381348157526,4,0.18176186518424742,0.9715277550339889
PSX,Phillips 66,Refining,SPY,3,-0.060747173237671204,0.6347823552961671,4,0.3652176447038329,0.9430598274107089
PSX,Phillips 66,Refining,SPY,6,-0.12499289497105828,0.1476756630476122,4,0.8523243369523879,0.7752972309999641
PSX,Phillips 66,Refining,SPY,12,-0.18483148179651165,0.19066161897814507,4,0.809338381021855,0.8182771312535971
PSX,Phillips 66,Refining,XLE,1,0.005519274801081692,0.8831899883761686,4,0.11681001162383142,0.9715277550339889
PSX,Phillips 66,Refining,XLE,3,0.015576857205763767,0.6251474088726916,4,0.3748525911273084,0.9430598274107089
PSX,Phillips 66,Refining,XLE,6,-0.04407909161319329,0.27800820509541496,4,0.7219917949045851,0.9430598274107089
PSX,Phillips 66,Refining,XLE,12,-0.032532252011768015,0.7237995708799632,4,0.27620042912003684,0.9430598274107089
KMI,Kinder Morgan,Midstream,SPY,1,0.0575124353698,0.3184497948381215,4,0.6815502051618785,0.9430598274107089
KMI,Kinder Morgan,Midstream,SPY,3,0.03350367791192385,0.7241831200499859,4,0.27581687995001414,0.9430598274107089
