subsector,horizon_months,mean_return,p,n_events
Midstream,6,0.033031753963111435,0.509743486808315,7
Integrated,6,-0.006664322947257003,0.904541411071938,7
Sector ETF,6,-0.013156097469926489,0.8483680312200487,7
Exploration & production,6,-0.013689110524353162,0.8984613914050329,7
Oilfield services,6,-0.07800725033882364,0.4005112139284829,7
Refining,6,-0.16031623673904571,0.08809644745560931,4
Midstream,12,0.1171629839423991,0.2430849946010223,7
Sector ETF,12,-0.006433479448434405,0.9492391852455278,7
Oilfield services,12,-0.012421476617925396,0.9277779364887518,7
Exploration & production,12,-0.025107520563990706,0.8722979451085532,7
Integrated,12,-0.04142329473423001,0.6190988331317734,7
Refining,12,-0.20623894130521436,0.08694745884560251,4
