ticker,benchmark,signal,horizon_months,sample,n,r,slope,hac_t,p
COP,XLE,ONI,3,Pre-2015,31,-0.3168931059989436,-0.0688103753444427,-1.384276731814913,0.1768344205883186
COP,XLE,ONI,3,2015 onward,136,-0.3460443180831072,-0.028669370150838445,-2.937105795168501,0.003901053924292245
COP,XLE,ONI,3,Excluding COVID-overlap,143,-0.31566536578296917,-0.028110200715242256,-2.631148019284802,0.009456445435819702
COP,XLE,ONI,6,Pre-2015,31,-0.2706066237342779,-0.06133322650232049,-1.2904352186166603,0.20709398748324753
COP,XLE,ONI,6,2015 onward,133,-0.49106633220717183,-0.05531656138508681,-4.223503609533101,4.4700640001524036e-05
COP,XLE,ONI,6,Excluding COVID-overlap,137,-0.4459779569843798,-0.050742178073243924,-3.672382695941783,0.0003452580200194738
COP,XLE,ONI,12,Pre-2015,31,-0.36115942456377875,-0.09124211330887516,-1.098552927378516,0.2810003103728577
COP,XLE,ONI,12,2015 onward,127,-0.4662695199699554,-0.07771589897572494,-3.061832270047592,0.002693829846116703
COP,XLE,ONI,12,Excluding COVID-overlap,125,-0.40752399239436565,-0.0687362856879981,-2.6397693551616186,0.009370712389730276
MPC,SPY,ONI,3,Pre-2015,42,0.17295003728429692,0.06201852661436176,0.9530947390802853,0.346266384457191
MPC,SPY,ONI,3,2015 onward,136,-0.36487013943491314,-0.07137082245759879,-3.4029832687825556,0.0008792939403009652
MPC,SPY,ONI,3,Excluding COVID-overlap,154,-0.3109531075524553,-0.05569436372816702,-2.8059182674358305,0.005674245821318001
MPC,SPY,ONI,6,Pre-2015,42,-0.060304420846638944,-0.029632575623241945,-0.40884030957579903,0.6848376146474298
MPC,SPY,ONI,6,2015 onward,133,-0.4349467664231193,-0.11787700875632828,-3.196993525302598,0.0017409579428255585
MPC,SPY,ONI,6,Excluding COVID-overlap,148,-0.41004624587496513,-0.09780945023012241,-3.0140334547862255,0.003040510631633864
PSX,SPY,ONI,12,Pre-2015,32,-0.2633875014866673,-0.16312062010598488,-1.4788205482387506,0.14961251962948346
PSX,SPY,ONI,12,2015 onward,127,-0.445532727960578,-0.13028103610995417,-3.3298176568779674,0.001142493890355996
PSX,SPY,ONI,12,Excluding COVID-overlap,126,-0.5076205749916818,-0.11646461536311627,-3.6019721919437373,0.0004553605788301218
PSX,XLE,dONI,1,Pre-2015,32,0.17209196394939705,0.06816597185577059,1.0600182894458763,0.29759639632291673
PSX,XLE,dONI,1,2015 onward,138,0.21773980604279017,0.05660679118602095,2.7688663811006853,0.0064106965100548035
PSX,XLE,dONI,1,Excluding COVID-overlap,148,0.23855797184662747,0.06474213202541004,3.487196100647313,0.0006451702773399524
PSX,XLE,dONI,3,Pre-2015,32,0.4276599716929218,0.3229425145219595,3.000124440069955,0.0053882771418717985
PSX,XLE,dONI,3,2015 onward,136,0.24985474023875512,0.1193162742211008,2.5742291579953873,0.011132643603565081
PSX,XLE,dONI,3,Excluding COVID-overlap,144,0.3204685798803134,0.16243749149688544,3.6615889467014275,0.00035282183834592563
SLB,SPY,dONI,3,Pre-2015,136,-0.38221958378542004,-0.2475796197423092,-3.392940099652252,0.0009094964997416034
SLB,SPY,dONI,3,2015 onward,136,-0.20753730574619084,-0.18743696581562355,-1.743622604754741,0.08351836489475817
SLB,SPY,dONI,3,Excluding COVID-overlap,248,-0.251963258664606,-0.1772031306063323,-2.8364202434006525,0.0049421390095441015
