relationship,target,spec,r,p,n
ONI → metal,Copper,dONI lag 2,-0.17575493258584263,0.00035510079582943893,409
ONI → metal,Aluminum,dONI lag 2,-0.15285077558570187,0.001935271332138922,409
ONI → metal,Nickel,dONI lag 8,0.10038821068362846,0.043997990253082986,403
ONI → infrastructure,MOD,dONI lag 3,-0.13511689159664067,0.02907852534214387,261
metal → infrastructure,MOD,Copper return lag 1,0.17188855945500955,0.0053631981996973685,261
ONI → infrastructure,VRT,dONI lag 0,0.1610856137312216,0.16164538214564086,77
metal → infrastructure,VRT,Nickel return lag 3,-0.3433997107870097,0.0022312503422015047,77
ONI → infrastructure,TT,dONI lag 6,0.15783113035372442,0.17329637407074205,76
metal → infrastructure,TT,Nickel return lag 4,-0.17796111613895454,0.12404321157649087,76
ONI → infrastructure,CARR,dONI lag 1,-0.1424349526771434,0.2228323088346265,75
metal → infrastructure,CARR,Aluminum return lag 6,-0.16162214872812142,0.16595880137797334,75
ONI → infrastructure,JCI,dONI lag 3,-0.1542287686292473,0.010570560431056187,274
metal → infrastructure,JCI,Aluminum return lag 4,-0.20614093966956282,0.0005956423062903542,274
ONI → infrastructure,ETN,dONI lag 9,0.1085329183091123,0.0728725384713852,274
metal → infrastructure,ETN,Nickel return lag 1,0.10191708141821404,0.09223923010437685,274
