equity,metal,r,p,n
MOD,Copper,0.21854934481185928,0.00037522880505289237,261
MOD,Aluminum,0.16740540022692718,0.006714317519443803,261
MOD,Nickel,0.11153856931803996,0.072029933733974,261
VRT,Copper,-0.026045381741128935,0.8220981356266231,77
VRT,Aluminum,0.05861454972605798,0.6126014585626929,77
VRT,Nickel,-0.0033503250108999107,0.9769298339704456,77
TT,Copper,0.10046838662277645,0.3878433911955247,76
TT,Aluminum,-0.10251223359881464,0.37821265034067747,76
TT,Nickel,-0.049465684030859866,0.6713143254529045,76
CARR,Copper,0.1563473149977857,0.18040150720508313,75
CARR,Aluminum,0.011534113027711589,0.9217624677927634,75
CARR,Nickel,0.037663476283887914,0.7483538457069444,75
JCI,Copper,0.2544653204591687,2.01447045345348e-05,274
JCI,Aluminum,0.14900525121519753,0.013549179351239565,274
JCI,Nickel,0.157754628610387,0.00890278464274108,274
ETN,Copper,-0.0005659415372426947,0.9925596963977839,274
ETN,Aluminum,0.02963640494087194,0.6252421900763678,274
ETN,Nickel,0.02251572933872224,0.7106041475987962,274
