month,train_end,test_end,spec,train_n,train_r,train_p,alpha,beta,x,prediction,actual,position,turnover,strategy_net
2008-10,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.007703608319571842,0.016461130179568087,-0.3563320847440279,1.0,1.0,-0.3583320847440279
2008-11,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.01377608341313774,0.011489902275685018,0.06819176804978833,1.0,0.0,0.06819176804978833
2008-12,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.0964815225920983,0.03700775860291976,0.026255560910933173,1.0,0.0,0.026255560910933173
2009-01,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.09023713586807958,0.0355625670279491,-0.28701057555475096,1.0,0.0,-0.28701057555475096
2009-02,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.35415654923533957,0.09664368348130283,0.019000719260529042,1.0,0.0,0.019000719260529042
2009-03,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.2720016887817156,0.07762988478209981,-0.019714879254568274,1.0,0.0,-0.019714879254568274
2009-04,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,-0.18314599409994692,0.05706525497653037,0.3651028334329305,1.0,0.0,0.3651028334329305
2009-05,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.04879235499229395,0.003385788467609884,-0.009433465343774206,1.0,0.0,-0.009433465343774206
2009-06,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.020658721193527185,0.009896994825617265,0.09229532605163993,1.0,0.0,0.09229532605163993
2009-07,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.1248116064253324,-0.014207994006499766,0.10328311141042379,-1.0,2.0,-0.10728311141042379
2009-08,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.162654498920217,-0.022966296754752757,-0.08011089043561626,-1.0,0.0,0.08011089043561626
2009-09,2008-09,2009-09,Copper return lag 4,60,-0.33713117812469495,0.008436715871489748,0.014678218529093933,-0.2314385125142561,0.034236601971938896,0.0067545502951657475,0.0013041947006988686,1.0,2.0,-0.0026958052993011315
2009-10,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.0741936731898809,-0.021559300908636215,-0.04690118549181621,-1.0,2.0,0.04290118549181621
2009-11,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.055967901592604896,-0.01474316944893525,0.0631884686608819,-1.0,0.0,-0.0631884686608819
2009-12,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.14313834237368628,-0.04734344541490487,-0.0065520910502150365,-1.0,0.0,0.0065520910502150365
2010-01,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,-0.048924994439285996,0.024485006144408156,0.05844735585791261,1.0,2.0,0.054447355857912605
2010-02,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.021592370795398885,-0.001887300183802211,0.08037520012269317,-1.0,2.0,-0.08437520012269317
2010-03,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.042218965072373216,-0.009601298870079256,0.004007842652366644,-1.0,0.0,-0.004007842652366644
2010-04,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.1087198803586249,-0.034471520597716576,0.002503952879532978,-1.0,0.0,-0.002503952879532978
2010-05,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.022150651004501754,-0.0020960875745738156,-0.0803058241270711,-1.0,0.0,0.0803058241270711
2010-06,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,-0.08261838838425728,0.037085767721313966,-0.0020808892883774632,1.0,2.0,-0.006080889288377463
2010-07,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.07379885822344523,-0.02141164676411236,0.0036428554190321982,-1.0,2.0,-0.007642855419032198
2010-08,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,0.045865041324780975,-0.010964869949408457,-0.03642285856870764,-1.0,0.0,0.03642285856870764
2010-09,2009-09,2010-09,Aluminum return lag 4,72,-0.2641578027948864,0.02494754901854744,0.006187882646319694,-0.3739831492631946,-0.12384131624248429,0.05250244810358318,0.05902074729071449,1.0,2.0,0.05502074729071449
2010-10,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,-0.05804244202791686,0.02708738107772795,0.10355366589041015,1.0,0.0,0.10355366589041015
2010-11,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.030441067051130588,-0.0023536764651945546,0.036875205020513224,-1.0,2.0,-0.04087520502051323
2010-12,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.05924182961500879,-0.011936534522572068,-0.012277698326099706,-1.0,0.0,0.012277698326099706
2011-01,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.028403216168104706,-0.0016756237327078477,-0.018071399990799986,-1.0,0.0,0.018071399990799986
2011-02,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.07578161131857453,-0.017439804792369305,0.026737462508293675,-1.0,0.0,-0.026737462508293675
2011-03,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,-0.007772112123534569,0.010360968542546542,0.02291132398774387,1.0,2.0,0.01891132398774387
2011-04,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.013939803992080613,0.0031367775223206254,-0.04235668900839373,1.0,0.0,-0.04235668900839373
2011-05,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.03462587938139272,-0.003746086213676755,-0.023465049082799894,-1.0,2.0,0.019465049082799894
2011-06,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.030501097003691413,-0.0023736501903105335,0.0726714567573632,-1.0,0.0,-0.0726714567573632
2011-07,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.015871721296139008,0.002493971997212679,-0.09976844183703015,1.0,2.0,-0.10376844183703016
2011-08,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,0.042862564242162726,-0.006486672741864871,-0.09104221551181357,-1.0,2.0,0.08704221551181357
2011-09,2010-09,2011-09,Aluminum return lag 4,84,-0.25995701490237466,0.016937702700908795,0.007774958983922354,-0.3327293170145535,-0.03052942216127974,0.017932992768493937,-0.11264352616959572,1.0,2.0,-0.11664352616959572
2011-10,2011-09,2012-09,Aluminum return lag 4,96,-0.2539619676206737,0.012532217630130724,0.006189224999457786,-0.33215176878002595,-0.011448632714754936,0.009991908605776508,0.11856570953078549,1.0,0.0,0.11856570953078549
2011-11,2011-09,2012-09,Aluminum return lag 4,96,-0.2539619676206737,0.012532217630130724,0.006189224999457786,-0.33215176878002595,-0.012721629008882296,0.010414736576521328,-0.04095964836936172,1.0,0.0,-0.04095964836936172
2011-12,2011-09,2012-09,Aluminum return lag 4,96,-0.2539619676206737,0.012532217630130724,0.006189224999457786,-0.33215176878002595,-0.05890071192384472,0.025753200647365575,-0.011085123025580845,1.0,0.0,-0.011085123025580845
2012-01,2011-09,2012-09,Aluminum return lag 4,96,-0.2539619676206737,0.012532217630130724,0.006189224999457786,-0.33215176878002595,-0.03744787877371447,0.018627604171207037,-0.029148210773458416,1.0,0.0,-0.029148210773458416
