month,train_end,test_end,spec,train_n,train_r,train_p,alpha,beta,x,prediction,actual,position,turnover,strategy_net
2025-04,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,-0.018439617532695962,0.016390025674529976,0.13770651088713848,1.0,1.0,0.13570651088713848
2025-05,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.007466266578335379,0.010478347575787481,0.0546196948378439,1.0,0.0,0.0546196948378439
2025-06,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.038709359085743245,0.003348727721031024,-0.030699554060431566,1.0,0.0,-0.030699554060431566
2025-07,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.04247269880002946,0.002489940085306208,-0.02123968711406299,1.0,0.0,-0.02123968711406299
2025-08,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,-0.05958097447869726,0.02577841241199156,-0.07299014763167921,1.0,0.0,-0.07299014763167921
2025-09,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.038339487944421435,0.0034331316779134657,-0.017044807534547957,1.0,0.0,-0.017044807534547957
2025-10,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.0313836523101898,0.005020441379489318,0.03777482471134519,1.0,0.0,0.03777482471134519
2025-11,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,-0.00657850138690641,0.01368333941571796,-0.06441882335477,1.0,0.0,-0.06441882335477
2025-12,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,-0.010153611019338982,0.0144991732712263,-0.07752561847435668,1.0,0.0,-0.07752561847435668
2026-01,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.03284001135335046,0.004688102756246102,0.06291110754219797,1.0,0.0,0.06291110754219797
2026-02,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.0719052038018706,-0.00422650682168902,0.10330213270556676,-1.0,2.0,-0.10730213270556677
2026-03,2025-03,2026-03,Copper return lag 4,60,-0.20476928021360802,0.11654284442034617,0.012182136738949963,-0.22819827624509306,0.006691739794002061,0.010655093252877999,-0.05042701856302134,1.0,2.0,-0.054427018563021345
2026-04,2026-03,2026-07,Aluminum return lag 5,72,-0.1757509544883125,0.13975136027241666,0.010992484268145745,-0.20439774611261854,0.009256607927547122,0.009100454471106917,0.06722008562198578,1.0,0.0,0.06722008562198578
2026-05,2026-03,2026-07,Aluminum return lag 5,72,-0.1757509544883125,0.13975136027241666,0.010992484268145745,-0.20439774611261854,0.01996085033202899,0.006912531449787707,-0.13873109721299492,1.0,0.0,-0.13873109721299492
2026-06,2026-03,2026-07,Aluminum return lag 5,72,-0.1757509544883125,0.13975136027241666,0.010992484268145745,-0.20439774611261854,0.08593975404581577,-0.006573407760291791,0.09755648933426997,-1.0,2.0,-0.10155648933426997
2026-07,2026-03,2026-07,Aluminum return lag 5,72,-0.1757509544883125,0.13975136027241666,0.010992484268145745,-0.20439774611261854,-0.0221955642060081,0.015529207565551713,-0.07693052299587322,1.0,2.0,-0.08093052299587322
