month,train_end,test_end,spec,train_n,train_r,train_p,alpha,beta,x,prediction,actual,position,turnover,strategy_net
2002-04,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,-0.1,0.0011098037380873782,-0.02493438308373097,1.0,1.0,-0.025934383083730972
2002-05,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.1,0.00026105086034523714,-0.01912414065511303,1.0,0.0,-0.01912414065511303
2002-06,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.1,0.00026105086034523714,0.009259148834235731,1.0,0.0,0.009259148834235731
2002-07,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.2,-0.00016332557852583344,-0.014152029421712342,-1.0,2.0,0.012152029421712342
2002-08,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.3,-0.0005877020173969039,-0.033833948022570226,-1.0,0.0,0.033833948022570226
2002-09,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.5,-0.0014364548951390451,0.006429828267033422,-1.0,0.0,-0.006429828267033422
2002-10,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.6,-0.0018608313340101154,0.007470580992311682,-1.0,0.0,-0.007470580992311682
2002-11,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.6,-0.0018608313340101154,0.046050646343134716,-1.0,0.0,-0.046050646343134716
2002-12,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,0.8,-0.002709584211752257,0.0018880447376252718,-1.0,0.0,-0.0018880447376252718
2003-01,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,1.0,-0.003558337089494398,0.0024726809150781293,-1.0,0.0,-0.0024726809150781293
2003-02,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,1.2,-0.004407089967236539,0.030184218205674185,-1.0,0.0,-0.030184218205674185
2003-03,2002-03,2003-03,ONI lag 0,120,-0.08970234336927019,0.3298973715304003,0.0006854272992163077,-0.004243764388710706,1.1,-0.003982713528365469,-0.024937515364189977,-1.0,0.0,0.024937515364189977
2003-04,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.0,0.0007108972414672424,-0.03840044314819746,1.0,2.0,-0.04040044314819746
2003-05,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.1,-0.0032775352093674156,0.048356809720838,-1.0,2.0,-0.050356809720838
2003-06,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.09999999999999998,-0.0032775352093674147,0.007199942638400181,-1.0,0.0,-0.007199942638400181
2003-07,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.2,-0.0072659676602020735,0.02129827226363279,-1.0,0.0,-0.02129827226363279
2003-08,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.09999999999999998,-0.0032775352093674147,0.011279602400473543,-1.0,0.0,-0.011279602400473543
2003-09,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.0,0.0007108972414672424,-0.028290351522111123,1.0,2.0,-0.030290351522111125
2003-10,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.20000000000000007,-0.007265967660202077,0.041921001280219805,-1.0,2.0,-0.04392100128021981
2003-11,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.19999999999999996,-0.007265967660202072,0.022994177230671653,-1.0,0.0,-0.022994177230671653
2003-12,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,0.19999999999999996,-0.007265967660202072,0.030102044562513974,-1.0,0.0,-0.030102044562513974
2004-01,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,-0.09999999999999987,0.004699329692301895,0.03228546232815166,1.0,2.0,0.030285462328151658
2004-02,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,-0.20000000000000007,0.008687762143136562,0.04635280997259894,1.0,0.0,0.04635280997259894
2004-03,2003-03,2004-03,dONI lag 10,121,-0.19466534527827822,0.032386729399400925,0.0007108972414672424,-0.03988432450834658,-0.30000000000000004,0.012676194593971218,-0.016676521445152304,1.0,0.0,-0.016676521445152304
2004-04,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,-0.30000000000000004,0.012838688778756938,0.04386947096274785,1.0,0.0,0.04386947096274785
2004-05,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,-0.19999999999999996,0.00942929878296498,-0.06343038546225799,1.0,0.0,-0.06343038546225799
2004-06,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,-0.4,0.016248078774548896,0.03433947696261619,1.0,0.0,0.03433947696261619
2004-07,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,-0.2,0.009429298782964982,0.015228819402739013,1.0,0.0,0.015228819402739013
2004-08,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.1,-0.0007988712044108889,-0.009276470707065165,-1.0,2.0,0.007276470707065165
2004-09,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.2,-0.004208261200202845,0.022745800433340513,-1.0,0.0,-0.022745800433340513
2004-10,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.0,0.002610518791381068,0.055811831649242194,1.0,2.0,0.05381183164924219
2004-11,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.1,-0.0007988712044108889,-0.0071367140738072266,-1.0,2.0,0.0051367140738072265
2004-12,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.0,0.002610518791381068,0.019382725471447593,1.0,2.0,0.01738272547144759
2005-01,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.09999999999999998,-0.000798871204410888,-0.009072515680788484,-1.0,2.0,0.007072515680788484
2005-02,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.0,0.002610518791381068,0.02506214880007729,1.0,2.0,0.023062148800077287
2005-03,2004-03,2005-03,dONI lag 11,132,-0.16701677751722283,0.05560829403244017,0.002610518791381068,-0.03409389995791957,0.0,0.002610518791381068,0.05413081518610685,1.0,0.0,0.05413081518610685
2005-04,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.0,0.003513963480105033,-0.049249389093914075,1.0,0.0,-0.049249389093914075
2005-05,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,-0.09999999999999998,0.006904720333965577,-0.08291007892210622,1.0,0.0,-0.08291007892210622
2005-06,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,-0.1,0.006904720333965579,-0.0054740948830405145,1.0,0.0,-0.0054740948830405145
2005-07,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.0,0.003513963480105033,0.029200213385817797,1.0,0.0,0.029200213385817797
2005-08,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.1,0.00012320662624448796,0.04817458414796505,1.0,0.0,0.04817458414796505
2005-09,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.2,-0.0032675502276160572,-0.018107722640023916,-1.0,2.0,0.016107722640023914
2005-10,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.09999999999999998,0.00012320662624448883,0.051153180916612584,1.0,2.0,0.04915318091661258
2005-11,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.09999999999999998,0.00012320662624448883,0.06156998673881198,1.0,0.0,0.06156998673881198
2005-12,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.0,0.003513963480105033,0.09009588904118271,1.0,0.0,0.09009588904118271
2006-01,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.0,0.003513963480105033,0.05715694470283239,1.0,0.0,0.05715694470283239
2006-02,2005-03,2006-03,dONI lag 11,144,-0.16693431737159428,0.04552096780124949,0.003513963480105033,-0.03390756853860545,0.09999999999999998,0.00012320662624448883,0.02897754668361774,1.0,0.0,0.02897754668361774
