month,train_end,test_end,spec,train_n,train_r,train_p,alpha,beta,x,prediction,actual,position,turnover,strategy_net
2002-04,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,-0.1,0.0004228399275403114,0.0612946250579931,1.0,1.0,0.0602946250579931
2002-05,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.1,-0.003207804040999966,-0.02704532886776434,-1.0,2.0,0.025045328867764338
2002-06,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.1,-0.003207804040999966,0.054102551915656605,-1.0,0.0,-0.054102551915656605
2002-07,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.2,-0.005023126025270105,-0.001388204074837418,-1.0,0.0,0.001388204074837418
2002-08,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.3,-0.006838448009540242,-0.05779646957613416,-1.0,0.0,0.05779646957613416
2002-09,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.5,-0.010469091978080521,-0.01073070793169606,-1.0,0.0,0.01073070793169606
2002-10,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.6,-0.012284413962350658,0.022837272402425057,-1.0,0.0,-0.022837272402425057
2002-11,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.6,-0.012284413962350658,0.07020091364501013,-1.0,0.0,-0.07020091364501013
2002-12,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,0.8,-0.015915057930890937,-0.014940726005063354,-1.0,0.0,0.014940726005063354
2003-01,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,1.0,-0.019545701899431212,0.10857373937118986,-1.0,0.0,-0.10857373937118986
2003-02,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,1.2,-0.023176345867971487,0.06914637787617117,-1.0,0.0,-0.06914637787617117
2003-03,2002-03,2003-03,ONI lag 0,120,-0.24078019461512098,0.008070639022903637,-0.0013924820567298272,-0.018153219842701386,1.1,-0.02136102388370135,-0.03166284866770219,-1.0,0.0,0.03166284866770219
2003-04,2003-03,2004-03,ONI lag 0,132,-0.20388765436347883,0.019032271259835625,0.0013652590216684211,-0.01542470449252844,0.9,-0.012516975021607176,-0.05029829984101042,-1.0,0.0,0.05029829984101042
2003-05,2003-03,2004-03,ONI lag 0,132,-0.20388765436347883,0.019032271259835625,0.0013652590216684211,-0.01542470449252844,0.6,-0.007889563673848642,0.051269808907447256,-1.0,0.0,-0.051269808907447256
2003-06,2003-03,2004-03,ONI lag 0,132,-0.20388765436347883,0.019032271259835625,0.0013652590216684211,-0.01542470449252844,0.4,-0.004804622775342955,0.057187395114631556,-1.0,0.0,-0.057187395114631556
2003-07,2003-03,2004-03,ONI lag 0,132,-0.20388765436347883,0.019032271259835625,0.0013652590216684211,-0.01542470449252844,0.0,0.0013652590216684211,-0.0008289201984137406,1.0,2.0,-0.0028289201984137407
