n,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,hac_t,hac_p,ic,ic_p,asset,target_kind,start,end,blocks,modal_spec,modal_share,median_train_abs_r
292,0.08319252734007976,0.21524880073212854,0.4756517477620251,-0.49627529747915955,0.5616438356164384,1.7981024004427995,0.07319716842445691,0.08900036328481903,0.12918386196429632,Copper,ONI → metal benchmark,2002-04,2026-07,25,dONI lag 2,0.68,0.1773435363977442
292,0.012354947275703854,0.1725107178060693,0.15931158885092525,-0.743616922676474,0.5513698630136986,0.6463944082817563,0.5185334206783185,-0.036229370455078014,0.537475640981617,Aluminum,ONI → metal benchmark,2002-04,2026-07,25,dONI lag 3,0.56,0.15449028177796523
292,-0.14814980143704037,0.28665016981661035,-0.40949854355514703,-0.9870341182114906,0.4383561643835616,-1.6719073161572182,0.09561746315854566,-0.16378906167959545,0.005019241604023763,Nickel,ONI → metal benchmark,2002-04,2026-07,25,dONI lag 3,0.4,0.12139815841479631
201,-0.08621838379827618,0.4826876808019779,0.052018985914432644,-0.9543774450037615,0.5223880597014925,0.21226170910640618,0.8321190363255498,0.09320299677910475,0.18817209175508842,MOD,ONI → infrastructure,2009-11,2026-07,17,dONI lag 3,0.9411764705882353,0.18002518719807165
201,-0.11558639090032263,0.4829387530204929,-0.018073534239500217,-0.9417253769335215,0.4925373134328358,-0.07770924363489363,0.9381370286120528,-0.11990007917948611,0.0900001697841742,MOD,metal → infrastructure,2009-11,2026-07,17,Copper return lag 2,0.4117647058823529,0.22441469597570168
17,0.25444114481328506,0.6069085091995723,0.6753230203005444,-0.34415337305592353,0.6470588235294118,1.113477141709463,0.2819523274834777,-0.170191135911473,0.5137192185895544,VRT,ONI → infrastructure,2025-03,2026-07,2,dONI lag 0,1.0,0.25421987701074716
17,0.4235379784452349,0.5998989182590658,0.8698988718097288,-0.25320105624387557,0.5882352941176471,1.85903180803162,0.08151431509897014,-0.029492500618636286,0.9105364103661865,VRT,metal → infrastructure,2025-03,2026-07,2,Nickel return lag 3,1.0,0.41527495909478307
16,-0.25203396268381406,0.2718858713167549,-0.9281548345571381,-0.43313386647330054,0.3125,-0.9480887252132265,0.35810956278953643,-0.3000191518128519,0.25890455943080615,TT,ONI → infrastructure,2025-04,2026-07,2,dONI lag 5,0.5,0.1804511640287046
16,-0.29158688768238483,0.26626907620109996,-1.1509983093355225,-0.4727457021694359,0.3125,-1.3633731468312127,0.19287922017566703,-0.41256953085079917,0.1122615470401295,TT,metal → infrastructure,2025-04,2026-07,2,Aluminum return lag 5,0.5,0.19026011735096027
15,-0.49637574416814545,0.28934721518407575,-2.165574836411091,-0.6022814790523694,0.2,-1.9863654528633023,0.06692924591149547,-0.19937798203157284,0.4762173340274211,CARR,ONI → infrastructure,2025-05,2026-07,2,dONI lag 11,0.5,0.1799134861457446
15,-0.32443622734106015,0.3252114686418597,-1.0307174449487773,-0.42584988288620873,0.3333333333333333,-1.1579043272516978,0.26627576778300294,-0.03016352436529675,0.9150181756054786,CARR,metal → infrastructure,2025-05,2026-07,2,Aluminum return lag 2,0.5,0.15059586376351577
214,-0.06278478835341472,0.24341205967637716,-0.14111965874061316,-0.7661843186947441,0.4532710280373832,-0.6187454994916207,0.5367451756852747,-0.012322713101015452,0.8577675033207801,JCI,ONI → infrastructure,2008-10,2026-07,18,dONI lag 9,0.5,0.22542914047175655
214,0.010460674753151267,0.24325857257749747,0.16820366773692605,-0.5310099546408217,0.5,0.8220375850304127,0.4119747368408418,0.11087899350524315,0.10576797247804082,JCI,metal → infrastructure,2008-10,2026-07,18,Aluminum return lag 4,0.7222222222222222,0.23090900133599687
214,-0.015341767606729007,0.18234888416320644,0.007025697412931523,-0.5996104185976311,0.5093457943925234,0.033159037378698686,0.9735788152008527,0.023724182451640676,0.7300411539569363,ETN,ONI → infrastructure,2008-10,2026-07,18,ONI lag 4,0.7777777777777778,0.14249397706362638
214,-0.01737231222588531,0.18204082286338158,-0.004953072900918402,-0.5955186826095116,0.4953271028037383,-0.022067460915848873,0.9824148012330303,-0.0006016793892361372,0.9930183915886913,ETN,metal → infrastructure,2008-10,2026-07,18,Nickel return lag 3,0.8888888888888888,0.17530046556111228
