structure,event_id,centered_month,ONI,dONI,entry_date,exit_date,components,portfolio_before,capital_deployed,raw_pnl,friction_cost,net_pre_tax_pnl,net_pre_tax_portfolio_return,underlying_pair_net_return,regime
O1 Long XLE ATM call,1,2024-01,1.8,-0.1999999999999999,2024-04-01,2024-05-24,XLE long: 24x,100000.0,9855.599999999999,-8424.0,300.5999999999981,-8724.599999999999,-0.08724599999999999,0.0195308887796707,"Energy uptrend, low volatility"
O1 Long XLE ATM call,2,2024-03,1.2,-0.3,2024-06-03,2024-07-30,XLE long: 28x,91275.4,9058.699999999999,-3612.0,387.0999999999989,-3999.099999999999,-0.04381355765080185,0.0288453824257884,"Energy uptrend, low volatility"
O2 Long COP ATM put,1,2024-01,1.8,-0.1999999999999999,2024-04-01,2024-05-24,COP long: 23x,100000.0,9609.975,9039.0,723.9249999999993,8315.075,0.08315075000000001,0.0195308887796707,"Energy uptrend, low volatility"
O2 Long COP ATM put,2,2024-03,1.2,-0.3,2024-06-03,2024-07-30,COP long: 23x,108315.075,10505.824999999999,5612.0,681.9499999999982,4930.050000000002,0.04551582501327726,0.0288453824257884,"Energy uptrend, low volatility"
O3 Long XLE call + COP put,1,2024-01,1.8,-0.1999999999999999,2024-04-01,2024-05-24,XLE long: 12x; COP long: 11x,100000.0,9523.875,111.0,496.52499999999867,-385.5249999999987,-0.003855249999999987,0.0195308887796707,"Energy uptrend, low volatility"
O3 Long XLE call + COP put,2,2024-03,1.2,-0.3,2024-06-03,2024-07-30,XLE long: 15x; COP long: 10x,99614.475,9420.625,505.0,503.87499999999864,1.1250000000013642,1.1293539417854324e-05,0.0288453824257884,"Energy uptrend, low volatility"
O4 XLE bull call spread,1,2024-01,1.8,-0.1999999999999999,2024-04-01,2024-05-24,XLE vertical: 29x,100000.0,9693.974999999999,-7975.0,460.375,-8435.375,-0.08435375,0.0195308887796707,"Energy uptrend, low volatility"
O4 XLE bull call spread,2,2024-03,1.2,-0.3,2024-06-03,2024-07-30,XLE vertical: 36x,91564.625,8967.6,-2375.999999999999,626.4000000000002,-3002.399999999999,-0.03278995572798992,0.0288453824257884,"Energy uptrend, low volatility"
O5 Paired vertical spreads,1,2024-01,1.8,-0.1999999999999999,2024-04-01,2024-05-24,XLE vertical: 14x; COP vertical: 17x,100000.0,9490.0,2864.999999999999,896.7250000000001,1968.2749999999987,0.01968274999999999,0.0195308887796707,"Energy uptrend, low volatility"
O5 Paired vertical spreads,2,2024-03,1.2,-0.3,2024-06-03,2024-07-30,XLE vertical: 20x; COP vertical: 13x,101968.275,9749.75,1488.0000000000005,819.8999999999987,668.1000000000017,0.006552037876486601,0.0288453824257884,"Energy uptrend, low volatility"
