structure,tax_rate,after_tax_return,tax_paid
O1 Long XLE ATM call,0.0,-0.12723699999999996,0.0
O1 Long XLE ATM call,0.24,-0.12723699999999996,0.0
O1 Long XLE ATM call,0.37,-0.12723699999999996,0.0
O2 Long COP ATM put,0.0,0.13245125000000005,0.0
O2 Long COP ATM put,0.24,0.10066295000000001,3178.830000000001
O2 Long COP ATM put,0.37,0.08344428750000003,4900.696250000001
O3 Long XLE call + COP put,0.0,-0.0038439999999999737,0.0
O3 Long XLE call + COP put,0.24,-0.0038439999999999737,0.0
O3 Long XLE call + COP put,0.37,-0.0038439999999999737,0.0
O4 XLE bull call spread,0.0,-0.11437775,0.0
O4 XLE bull call spread,0.24,-0.11437775,0.0
O4 XLE bull call spread,0.37,-0.11437775,0.0
O5 Paired vertical spreads,0.0,0.026363750000000005,0.0
O5 Paired vertical spreads,0.24,0.020036450000000004,632.7300000000001
O5 Paired vertical spreads,0.37,0.016609162500000003,975.4587500000001
