Metal,Metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Copper,ONI vs price,415,-0.10877847138322957,0.026699646274389744,-0.13214412267477268,0.007024262847820302
Copper,ONI vs log price,415,-0.07115368077988085,0.1479044431991987,-0.13214412267477268,0.007024262847820302
Copper,ONI vs monthly log return,414,-0.07746073984155637,0.11555849589245326,-0.08151290926129333,0.09766414877959688
Copper,ΔONI vs monthly log return,414,0.04767319200392938,0.3332324951682066,-0.003914328148862978,0.9367110553133098
Aluminum,ONI vs price,415,-0.18792224798654542,0.00011759602712927576,-0.18827724955667527,0.00011408876897863225
Aluminum,ONI vs log price,415,-0.18096218602732111,0.00021055639285552346,-0.18827724955667527,0.00011408876897863225
Aluminum,ONI vs monthly log return,414,-0.03331542402986628,0.49903637843186416,-0.054610912083260625,0.26758745454454236
Aluminum,ΔONI vs monthly log return,414,0.07583507990201502,0.12342162692338528,0.05003465376681971,0.30981384865107076
Nickel,ONI vs price,415,-0.1967477896839162,5.4490948945179226e-05,-0.15945946095710986,0.0011160155523940562
Nickel,ONI vs log price,415,-0.15838936015685345,0.0012063980501634604,-0.15945946095710986,0.0011160155523940562
Nickel,ONI vs monthly log return,414,-0.07812681579281708,0.11245238867493071,-0.07387385113026898,0.13345469315113245
Nickel,ΔONI vs monthly log return,414,0.012904621355572457,0.7934854969159021,-0.01892116140301759,0.7010829382051037
