Period,Metal,Signal,N,r,p
1992-2001,Copper,ONI,119,-0.07613724260205067,0.41051485066585536
1992-2001,Copper,dONI,119,-0.06963301264538889,0.4517488314025739
1992-2001,Aluminum,ONI,119,0.012989848021159843,0.8884919341131376
1992-2001,Aluminum,dONI,119,0.09753975108543426,0.2912787002048388
1992-2001,Nickel,ONI,119,-0.15647044897120527,0.0892517016280114
1992-2001,Nickel,dONI,119,0.19494362127277048,0.03362293970010538
2002-2011,Copper,ONI,120,0.02390707346768495,0.795492704064582
2002-2011,Copper,dONI,120,0.23715798580667333,0.009105655872311663
2002-2011,Aluminum,ONI,120,0.09588755719344735,0.29750260133099304
2002-2011,Aluminum,dONI,120,0.2593470934857915,0.004231336198379644
2002-2011,Nickel,ONI,120,0.18319152816720427,0.04520521415458857
2002-2011,Nickel,dONI,120,0.1337584497087824,0.14526353707553713
2012-2021,Copper,ONI,120,-0.3046378308641398,0.0007170035022078871
2012-2021,Copper,dONI,120,-0.10940913264935405,0.23422449843462903
2012-2021,Aluminum,ONI,120,-0.25389959670322676,0.0051384074535753025
2012-2021,Aluminum,dONI,120,-0.06823589034534644,0.45898055266382143
2012-2021,Nickel,ONI,120,-0.3020909991106952,0.0007985240920900935
2012-2021,Nickel,dONI,120,-0.27320127459118004,0.0025352771458837307
2022-2026-07,Copper,ONI,55,0.018555097788032486,0.8930395531133972
2022-2026-07,Copper,dONI,55,-0.09472353211693615,0.4915142915841327
2022-2026-07,Aluminum,ONI,55,-0.05083200398912111,0.7124558285591476
2022-2026-07,Aluminum,dONI,55,-0.1569282050028446,0.2525467224579217
2022-2026-07,Nickel,ONI,55,-0.20796269781832538,0.12761382077078195
2022-2026-07,Nickel,dONI,55,-0.17110110958806726,0.21166188778173248
