ticker,company_name,role,cat_exposed,property_insurance,first_date,last_date,daily_rows,monthly_n,coverage_ratio,severe_months_n,quality,corr_oni_r,corr_oni_p,corr_doni_r,corr_doni_p,corr_available_r,corr_available_p,hac_slope,hac_p,corr_market_relative_r,corr_market_relative_p,mean_severe_return,median_severe_return,mean_other_return,severe_minus_other,severe_welch_p,severe_hac_p,mean_severe_market_relative,hac_q_bh,severe_q_bh
AAGIY,AIA Group Limited,Direct insurer,No,No,2021-12-31,2026-09-11,1171,55,1.0,7,Limited,-0.16248378313066764,0.23592653780388348,0.011452860369875799,0.9338607121140292,-0.12961734120067253,0.3455911185081253,-0.013994187978374881,0.07480686328429487,-0.22661911063214296,0.09615772509897509,-0.0017785854455597391,0.007527539887543178,0.00032411493635547034,-0.0021027003819152094,0.9517607572736602,0.9285619598538949,-0.019058865841449384,0.7556443738804246,0.985069022271923
ACGL,Arch Capital Group Ltd.,Insurer and reinsurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,-0.0014494877436744477,0.9809454439335655,0.022379498721213947,0.7122773531050733,0.0030315597636685968,0.9601606814939544,0.00022033286243867072,0.954952261198885,-0.026418775572470736,0.6632827543077199,0.010902631484996431,0.019141875336436964,0.012154558759311063,-0.0012519272743146317,0.9308504573650589,0.8965992398369151,0.0065760451386416546,0.989393146685548,0.985069022271923
AFG,"American Financial Group, Inc.",Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,-0.019449784913424986,0.7485819770236463,0.06339407424099631,0.29573954640914457,-0.03589619574074581,0.5540769000843461,-0.002752406322026259,0.526223890452552,-0.07958059501464929,0.1890633810131737,0.008940668142723892,0.01262083700426686,0.008279039969433605,0.0006616281732902875,0.9418221226875124,0.9387302541579329,0.004614081796369116,0.8593502577676504,0.985069022271923
AIG,"American International Group, Inc.",Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.02469633972275804,0.6840150612322543,0.00021320264347914064,0.9971970390748239,0.05673916879377864,0.34944793561669263,0.01371229287841883,0.3274129476252411,0.052627948744561594,0.38552216778019077,-0.003361522624869394,0.025646167352584293,-0.008567668059288566,0.005206145434419171,0.8256260741614304,0.8129450958973145,-0.0076881089712241705,0.8593502577676504,0.985069022271923
AIZ,"Assurant, Inc.",Direct insurer,Yes,Yes,2004-02-05,2026-09-11,5686,269,1.0,17,Usable,0.06649520532079033,0.277157510404789,0.03286166336703856,0.5915395052058398,0.069893283132566,0.253290114154878,0.007019277330610357,0.1119473146489518,0.05925500536096204,0.33295468105145765,0.021436447889216732,0.03139662394017684,0.00801359816406036,0.013422849725156373,0.393717703066788,0.3132979415167059,0.017109861542861954,0.7556443738804246,0.7363893962630135
ALIZY,Allianz SE,Insurer and reinsurer,Yes,Yes,2021-12-31,2026-09-11,1171,55,1.0,7,Limited,0.11617992088739935,0.39828462392405484,0.07416291745537748,0.5904970599135919,0.09224731596880602,0.5029589678031271,0.007637185841855212,0.4436953182595699,-0.05769947354886225,0.67563199758951,0.024790179832551638,0.02741927978738401,0.011916871635534195,0.012873308197017442,0.48754642485609995,0.3869094781483818,0.007509899436661994,0.8593502577676504,0.7738189562967636
ALL,The Allstate Corporation,Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.11169247898157114,0.06486782372956265,0.10579849783290562,0.08043284952153042,0.04984306030954601,0.4111972576829499,0.0046200973026326725,0.29004643428600146,0.033258930266014265,0.5835764883204793,0.03088063358181345,0.03284667152019871,0.0056542703340346995,0.02522636324777875,0.15758660465379126,0.15760912587007583,0.026554047235458674,0.8593502577676504,0.5055465839797466
AXAHY,AXA SA,Insurer and reinsurer,Yes,Yes,2021-12-31,2026-09-11,1171,55,1.0,7,Limited,0.10656571848552111,0.43871272874664335,0.08130365814181403,0.5551283461829832,0.0536099790059375,0.6974758940242282,0.004477103584390797,0.6365857737590142,-0.09592075091738486,0.4860300576675346,0.0281419445142734,0.030578627105493972,0.007435320054954971,0.02070662445931843,0.17829010183050117,0.1416339129207957,0.010861664118383756,0.8593502577676504,0.5055465839797466
AXS,AXIS Capital Holdings Limited,Insurer and reinsurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.002060853414516471,0.9729112195956651,-0.009311047210012122,0.8780639395500307,0.0349804452620833,0.5642375593693337,0.0029050562294807556,0.48298329267554285,0.01140557469838143,0.850924579833934,0.0060549687468790985,0.005198674909237866,0.0052030935553838,0.0008518751914952981,0.9231408259438378,0.9144963717759718,0.0017283824005243217,0.8593502577676504,0.985069022271923
BAP,Credicorp Ltd. (via Pacifico Seguros),Insurance holding subsidiary,Yes,Yes,2003-09-10,2026-09-11,5781,274,1.0,17,Usable,0.005098556597014373,0.9330478091709843,-0.030781279152625005,0.6119361185785146,0.05626101008119371,0.3535305321454685,0.006170205013174879,0.3365930027758961,0.04256763565222055,0.4828559101576607,0.014927952063164022,0.004551087738740911,0.013371802407802537,0.0015561496553614853,0.9492978540289075,0.9485849844099999,0.010601365716809245,0.8593502577676504,0.985069022271923
BBD,Banco Bradesco S.A. (via Bradesco Seguros),Insurance holding subsidiary,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,-0.0266704330142008,0.6602745394824372,0.026329802976439467,0.6643475942797497,0.011717519407957268,0.846896806831537,0.0017584261177032842,0.8611836451284157,-0.0023037056100285863,0.969720505600454,-0.014601243646187834,-0.021277398447284934,0.007577604506971395,-0.02217884815315923,0.53934233218919,0.5442073045276244,-0.01892782999254261,0.930078336738689,0.910041947452692
BBSEY,BB Seguridade Participacoes S.A.,Insurance holding company,Yes,Yes,2021-12-31,2026-09-11,1170,55,1.0,7,Limited,-0.10303544539426698,0.45411293513173157,0.16922699637697622,0.21678367259298267,-0.17680620343381048,0.19659510359857468,-0.016234967185458728,0.04444923608832015,-0.3010182507424911,0.025535032897960167,0.022724224054257083,0.010093813169218757,0.013277181378551953,0.00944704267570513,0.6854189146784232,0.518681739353976,0.005443943658367438,0.6000646871923221,0.9035101266166033
BCH,Banco de Chile (insurance brokerage/distribution),Bancassurance distributor,Limited,Yes,2003-09-10,2026-09-11,5761,274,1.0,17,Usable,-0.03672741348086087,0.5449319601214978,-0.009377899495175292,0.8771953354868585,0.014555396814373511,0.8104497018860092,0.001290309903172987,0.7385519964056081,-0.009088981235137704,0.8809502595855622,0.011458911238716256,0.013766195764147948,0.006548999870574587,0.0049099113681416685,0.6776777974655368,0.5729893743220653,0.007132324892361479,0.8825890005359378,0.910041947452692
BSAC,Banco Santander-Chile (insurance distribution),Bancassurance distributor,Limited,Yes,2012-04-12,2026-09-11,3625,171,1.0,15,Usable,-0.10006722432001658,0.19284047154560138,-0.028636136783447105,0.7100449131340224,-0.05503778830861164,0.4746239917329831,-0.005213393042476205,0.41778948097436847,-0.07097120683395232,0.35630656665255583,0.00220431821641555,-0.020040750883446368,0.00039247984502561897,0.0018118383713899308,0.9173438978741577,0.8949061799215782,-0.0042636592802791345,0.8593502577676504,0.985069022271923
CB,Chubb Limited,Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.026684643502952736,0.6601048350310424,-0.006465123739553722,0.9151628780516708,0.04064914673924917,0.5028169787985175,0.0028148617982769204,0.34164867660337356,0.012103682667890261,0.8419162528792209,0.020987873391721007,0.026860494981585603,0.007798254509360456,0.013189618882360551,0.20970012198190202,0.08820508131811775,0.016661287045366232,0.8593502577676504,0.5055465839797466
CHPXY,"China Pacific Insurance (Group) Co., Ltd.",Insurance holding company,Yes,Yes,2022-01-07,2022-06-13,7,1,0.6666666666666666,0,Insufficient,,,,,,,,,,,,,-0.12928510174307162,,,,,,
CINF,Cincinnati Financial Corporation,Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.057627118267542146,0.3419458006869438,0.013741186653392131,0.8208685921059657,0.08367936708821201,0.16720787290084813,0.006678262428344999,0.1960046205867739,0.06416277510283402,0.2899103444245729,0.013876669508079838,0.014504951851194825,0.004884051921536492,0.008992617586543347,0.46582507623598635,0.3367893610439683,0.009550083161725061,0.8407694815056985,0.7577760623489286
CNA,CNA Financial Corporation,Direct insurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.05893107274662389,0.3311161385444195,0.07140272467226373,0.23878614387648345,0.02420540764531669,0.6899687176232523,0.0024799815207017907,0.6705138267519242,0.005050872412408952,0.9336725354872455,0.0006763586997893256,0.004263388741050811,0.003514665814604657,-0.0028383071148153313,0.8591465691553901,0.8412381553395295,-0.0036502276465654507,0.8593502577676504,0.985069022271923
EG,"Everest Group, Ltd.",Insurer and reinsurer,Yes,Yes,2003-09-10,2026-09-11,5788,274,1.0,17,Usable,0.002453541272543436,0.9677521266579339,0.08924686728515392,0.14061986105373875,-0.022886630955648607,0.7060557205056875,-0.0016284095808967386,0.6745911023623479,-0.053139687209381385,0.3809124573613394,0.008904384878122298,0.026360013055695575,0.005656276533280247,0.003248108344842051,0.8155663057843733,0.7241229232217146,0.004577798531767521,0.8593502577676504,0.985069022271923
FRFHF,Fairfax Financial Holdings Limited,Insurance holding company,Yes,Yes,2021-12-31,2026-09-11,1171,55,1.0,7,Limited,0.10850369678706312,0.4303841993128706,0.02875580267742571,0.8349139475291841,0.09493077470924308,0.4905626486440048,0.0068351684427330195,0.3157500382441034,-0.07306046670869407,0.5960460700424901,0.0384196512694165,0.015705076527311235,0.01983520264876711,0.018584448620649393,0.4251288063790698,0.25143877563401723,0.02113937087352686,0.8593502577676504,0.6788846942118465
GIVSY,Grupo de Inversiones Suramericana S.A. (via Seguros SURA),Insurance holding company,Yes,Yes,2022-01-05,2026-08-25,25,2,0.19642857142857142,0,Insufficient,,,,,,,,,,,,,0.09288195049246362,,,,,,
GWLIF,Great-West Lifeco Inc.,Insurance holding company,No,No,2021-12-31,2026-09-11,1087,55,1.0,7,Limited,0.1477175499243743,0.2818119356935987,0.3407567055492904,0.010903836334811099,-0.004117725382949355,0.9761974026617009,-0.0002967993723643949,0.9779778325682468,-0.18846946298787015,0.16820089196120683,0.015762138643121353,0.011706572232160095,0.014218631425562511,0.001543507217558842,0.9582092740100835,0.9347494475039887,-0.0015181417527682889,0.989393146685548,0.985069022271923
HCI,"HCI Group, Inc.",Direct insurer,Yes,Yes,2012-10-25,2026-09-11,3488,165,1.0,15,Usable,0.004067694314671008,0.9586454506838791,0.14507874532365156,0.06299144702352834,-0.07294472158382756,0.3517967933186763,-0.01073407819770305,0.41108943011635807,-0.08427502538475079,0.28182959420075215,0.02038107261547942,0.01877902168522594,0.011726898246917604,0.008654174368561817,0.7940354896698113,0.8121468150862922,0.013913095118784736,0.8593502577676504,0.985069022271923
