ticker,episode,start,end,peak_oni,partial_episode,trading_days,episode_return,spy_return,market_relative_log_return,max_drawdown,best_20d_return,best_20d_z,best_20d_end,worst_20d_return,worst_20d_z,worst_20d_end,signal
AAGIY,E3: 2023-09 to 2024-02,2023-09,2024-02,2.0,False,124,-0.1066186651896982,0.12818918618852004,-0.2333556198572712,-0.20332278481012656,0.10898050495365909,1.1352623008310572,2023-10-24,-0.12640599892876275,-1.4364092927373995,2023-12-13,No 2σ move
AAGIY,E4: 2026-07 to 2026-07,2026-07,2026-07,1.8,True,22,0.1054933041814703,0.0003481661020126037,0.09994355896712538,-0.02013778484366735,0.11734417344173428,1.2162502873904257,2026-07-30,-0.12184673964778688,-1.3803000931490848,2026-07-01,No 2σ move
ACGL,E1: 2009-12 to 2010-01,2009-12,2010-01,1.5,False,41,0.023459126784863615,-0.023194469710751342,0.046655885135637495,-0.025659715358766544,0.04447002197342258,0.49965580834455625,2009-12-28,-0.014481530240842548,-0.4035139528713481,2009-12-08,No 2σ move
ACGL,E2: 2015-08 to 2016-03,2015-08,2016-03,2.6,False,167,-0.0036448939953840354,-0.02365795724465558,0.02029074751393957,-0.16432603261562473,0.12365743912923956,1.635739116163486,2015-10-16,-0.07405821917808192,-1.3729013571910245,2016-01-20,No 2σ move
ACGL,E3: 2023-09 to 2024-02,2023-09,2024-02,2.0,False,124,0.1396044756700494,0.12818918618852004,0.010067393773332114,-0.18422222222222218,0.11856823266219262,1.565169608982345,2023-11-01,-0.15505747126436797,-2.7960148774257503,2023-12-26,Drawdown
ACGL,E4: 2026-07 to 2026-07,2026-07,2026-07,1.8,True,22,0.03575108180506903,0.0003481661020126037,0.03477874093399877,-0.055879038317054874,0.16281715781090025,2.1682901594930746,2026-07-02,-0.01634050880626168,-0.4328657795179695,2026-07-31,Spike
AFG,E1: 2009-12 to 2010-01,2009-12,2010-01,1.5,False,41,0.022671063478977516,-0.023194469710751342,0.045885588750194536,-0.040507364975450155,0.08091993185689941,1.0288363339921498,2010-01-07,-0.06911532385466061,-1.1690706500664045,2009-12-10,No 2σ move
AFG,E2: 2015-08 to 2016-03,2015-08,2016-03,2.6,False,167,0.02059463379260329,-0.02365795724465558,0.04432773205995466,-0.1334308899827059,0.07978174310573669,1.0133405267320135,2015-08-17,-0.07892584514721909,-1.3249036761755018,2016-01-08,No 2σ move
AFG,E3: 2023-09 to 2024-02,2023-09,2024-02,2.0,False,124,0.10136300897170458,0.12818918618852004,-0.024065345445135097,-0.09810422511264127,0.10631076866629952,1.370340979754265,2023-12-19,-0.06503442999234915,-1.104731711306632,2023-10-02,No 2σ move
AFG,E4: 2026-07 to 2026-07,2026-07,2026-07,1.8,True,22,0.01271973703015572,0.0003481661020126037,0.012291415173260689,-0.03815835367980469,0.10770543959028486,1.388871418130984,2026-07-02,-0.007215411558669147,-0.22217030804343627,2026-07-31,No 2σ move
AIG,E1: 2009-12 to 2010-01,2009-12,2010-01,1.5,False,41,-0.14683086229711861,-0.023194469710751342,-0.13532977088316397,-0.2368918303471933,0.11479110967079849,0.6410672218608636,2009-12-29,-0.23689183034719336,-1.440590761575258,2010-01-28,No 2σ move
AIG,E2: 2015-08 to 2016-03,2015-08,2016-03,2.6,False,167,-0.15704928259513418,-0.02365795724465558,-0.14690448333532702,-0.21928460342146183,0.12442801830341428,0.6883407670461361,2015-10-28,-0.12519987208186742,-0.6903836056625237,2016-01-28,No 2σ move
AIG,E3: 2023-09 to 2024-02,2023-09,2024-02,2.0,False,124,0.24555707450444286,0.12818918618852004,0.09896902197723038,-0.06647673314339986,0.09608600705526629,0.5481320303714105,2023-11-27,-0.05346470683249826,-0.25752980689586125,2023-09-05,No 2σ move
