ticker,status,source_status,rows,first_date,last_date,adjusted_for_splits,includes_dividends,raw_file,sha256,error
AAGIY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_AAGIY_daily_2001-01-01_2026-09-12.json.gz,c9bb66e621c0bc02539324109cdebd5885930558627433ea7007bfbe8f65337d,
ACGL,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_ACGL_daily_2001-01-01_2026-09-12.json.gz,9e14bbbfec132d86c9ba15158eef3ec92399ce44b71b21654f83ede2da5ae46d,
AFG,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_AFG_daily_2001-01-01_2026-09-12.json.gz,225de4c14e22eef525b666d54e753ea2357df9d53f680f5780ae28de32e04d26,
AIG,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_AIG_daily_2001-01-01_2026-09-12.json.gz,369eb4a6c64d08b150c5ee5e7f7d559535c52d326e0274e4489d48dbd0287a13,
AIZ,ok,cached,5686,2004-02-05,2026-09-11,True,False,raw/massive_AIZ_daily_2001-01-01_2026-09-12.json.gz,00a05c6cfa2f537838a0cc8fd49a674a0081118019937624b84f2077b2833734,
ALIZY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_ALIZY_daily_2001-01-01_2026-09-12.json.gz,07b2adaa69fc74dbfa7b31ad2b62859c482fe94d53eba4b76d720846386e3024,
ALL,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_ALL_daily_2001-01-01_2026-09-12.json.gz,b164ad86f8118b417e163171073d5349d28f392404dcbb87a4003134a5a4eae3,
AXAHY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_AXAHY_daily_2001-01-01_2026-09-12.json.gz,9bf78ef139d6a6ef14b4899ad4874cc4dc67a3939c8164e905750adcee70c93b,
AXS,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_AXS_daily_2001-01-01_2026-09-12.json.gz,106c412551ab9180f0804644eb78054478cc0ebcb3dbbbadbaee61314eb60578,
BAP,ok,cached,5781,2003-09-10,2026-09-11,True,False,raw/massive_BAP_daily_2001-01-01_2026-09-12.json.gz,65c66824e48570fae25d51c3b4af3ad6b4dff8206c0d6cf92982c54f949cea26,
BBD,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_BBD_daily_2001-01-01_2026-09-12.json.gz,49bb74ffa3735e311aad5eca67668fb07dcde3ae6e9c60d4825718ecdb96c968,
BBSEY,ok,cached,1170,2021-12-31,2026-09-11,True,False,raw/massive_BBSEY_daily_2001-01-01_2026-09-12.json.gz,e2cf83d11af5f03473ad812be5d7647c6063676d7f5d93a1644aa9648be3b403,
BCH,ok,cached,5761,2003-09-10,2026-09-11,True,False,raw/massive_BCH_daily_2001-01-01_2026-09-12.json.gz,8bc20dd524340cc7ee3405822bad7337243550488352d2d660feaf22e28fb97f,
BSAC,ok,cached,3625,2012-04-12,2026-09-11,True,False,raw/massive_BSAC_daily_2001-01-01_2026-09-12.json.gz,cc3bd286e66434b885c2380999af54568d2aecd0d17ed6ed230c70b027c62906,
CB,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_CB_daily_2001-01-01_2026-09-12.json.gz,6c9f3628f874e3c6e0eff326a988c0efb382bbb760d204633a56e9d5ddc80d80,
CHPXY,ok,cached,7,2022-01-07,2022-06-13,True,False,raw/massive_CHPXY_daily_2001-01-01_2026-09-12.json.gz,8ba0fa345df3e29c0f0573bd46e0de670053cdf98bf500d3103000759a1e1a11,
