episode,date,series,return
2009-05 to 2010-04,2009-08-03,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-04,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-05,Core MA + ATR,-0.0020325285254057454
2009-05 to 2010-04,2009-08-06,Core MA + ATR,0.000921042077757648
2009-05 to 2010-04,2009-08-07,Core MA + ATR,0.0007575757575757902
2009-05 to 2010-04,2009-08-10,Core MA + ATR,0.0005568788311139141
2009-05 to 2010-04,2009-08-11,Core MA + ATR,-0.002755348902908062
2009-05 to 2010-04,2009-08-12,Core MA + ATR,0.008928571428571425
2009-05 to 2010-04,2009-08-13,Core MA + ATR,0.0017577195432495823
2009-05 to 2010-04,2009-08-14,Core MA + ATR,-0.0026893988043290226
2009-05 to 2010-04,2009-08-17,Core MA + ATR,-0.004728546409807369
2009-05 to 2010-04,2009-08-18,Core MA + ATR,0.00013651255915544946
2009-05 to 2010-04,2009-08-19,Core MA + ATR,9.090909090908594e-05
2009-05 to 2010-04,2009-08-20,Core MA + ATR,-0.0003662790697674354
2009-05 to 2010-04,2009-08-21,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-24,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-25,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-26,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-27,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-28,Core MA + ATR,-0.006582123911004181
2009-05 to 2010-04,2009-08-31,Core MA + ATR,-0.01855932044469939
2009-05 to 2010-04,2009-09-01,Core MA + ATR,-0.004831512237762233
2009-05 to 2010-04,2009-09-02,Core MA + ATR,-0.0016383058947521643
2009-05 to 2010-04,2009-09-03,Core MA + ATR,0.0
2009-05 to 2010-04,2009-09-04,Core MA + ATR,0.0
2009-05 to 2010-04,2009-09-08,Core MA + ATR,0.0
2009-05 to 2010-04,2009-09-09,Core MA + ATR,0.0016528253424657503
2009-05 to 2010-04,2009-09-10,Core MA + ATR,-0.000913125449164786
2009-05 to 2010-04,2009-09-11,Core MA + ATR,-0.0032978022339666645
2009-05 to 2010-04,2009-09-14,Core MA + ATR,-0.0016325757575757459
2009-05 to 2010-04,2009-09-15,Core MA + ATR,0.0
2009-05 to 2010-04,2009-09-16,Core MA + ATR,-0.0005877874464279667
2009-05 to 2010-04,2009-09-17,Core MA + ATR,-0.0004038080550419729
2009-05 to 2010-04,2009-09-18,Core MA + ATR,-0.0011866461748633837
