episode,ticker,observations,active_signals,score_next_day_ic,ic_p,direction_hit_rate,mean_signed_next_day
2009-05 to 2010-04,MCY,251,26,-0.09000760953347958,0.15509646102610866,0.5769230769230769,-0.0009173947345021502
2009-05 to 2010-04,CINF,251,5,-0.08104726054058833,0.20064113865863892,0.6,0.002262454584182638
2009-05 to 2010-04,PGR,251,29,-0.050655093112376065,0.4242701858087364,0.3793103448275862,-0.00399993815368954
2009-05 to 2010-04,AIZ,251,30,-0.1348017024066763,0.0327811524408848,0.43333333333333335,-0.006887473822114994
2009-05 to 2010-04,AIG,251,19,0.03399795822807182,0.5918926277307278,0.47368421052631576,-0.01713512823614891
2009-05 to 2010-04,BAP,251,17,-0.11048818717780418,0.08062390973170303,0.23529411764705882,-0.008895071090797804
2009-05 to 2010-04,ALL,251,35,-0.021191293479389212,0.7383079258856774,0.5142857142857142,-0.003603537462196295
2009-05 to 2010-04,HIG,251,26,-0.011960112632394142,0.8504496395577661,0.5,-0.004603453889036491
2012-06 to 2012-12,MCY,141,21,-0.017867110369866112,0.833442591732745,0.47619047619047616,-0.0017365746115150806
2012-06 to 2012-12,CINF,141,29,-0.08816322978063215,0.2985316797827825,0.4827586206896552,2.4372146248331926e-05
2012-06 to 2012-12,PGR,141,30,-0.07394004930314022,0.3835535464080821,0.5,-0.0008909938371201982
2012-06 to 2012-12,AIZ,141,22,0.03229887719867851,0.7037872135658766,0.5454545454545454,0.0002832276491377557
2012-06 to 2012-12,AIG,141,3,-0.027850752925014155,0.7430408633194042,0.0,-0.018079585561394218
2012-06 to 2012-12,BAP,141,0,-0.034328986420957185,0.6861210368546607,,
2012-06 to 2012-12,ALL,141,0,0.015067577743072727,0.8592452763924308,,
2012-06 to 2012-12,HIG,141,0,0.07323821420798736,0.3880967357664607,,
2014-03 to 2016-06,MCY,590,64,-0.07370623442494917,0.0736220077132888,0.578125,-0.00018200319013859934
2014-03 to 2016-06,CINF,590,75,-0.08165726420558331,0.0474173230838165,0.5066666666666667,0.0002630206036053491
2014-03 to 2016-06,PGR,590,89,0.0031983000689953765,0.9382083808149385,0.5393258426966292,0.00040720211823080753
2014-03 to 2016-06,AIZ,590,82,-0.005874608614581445,0.8867700937708393,0.5,0.0009120986372619161
2014-03 to 2016-06,AIG,590,59,-0.0738759511298891,0.07295919139315821,0.4067796610169492,-0.003454943117113739
2014-03 to 2016-06,BAP,590,91,-0.01589754771444081,0.6999740235563996,0.5494505494505495,0.001883343234581815
2014-03 to 2016-06,ALL,590,57,-0.09917711310632807,0.01595957514749305,0.49122807017543857,0.0005382455845933022
2014-03 to 2016-06,HIG,590,22,-0.08713305881152877,0.03434548828719587,0.3181818181818182,0.0003762995575729617
2017-02 to 2017-07,KNSL,129,23,-0.1532742680404326,0.08288630404123222,0.5652173913043478,-0.0029502770297591503
2017-02 to 2017-07,MCY,129,6,-0.12862004045160197,0.14631681535858182,0.3333333333333333,-0.002999291076115037
2017-02 to 2017-07,CINF,129,11,0.11674153003878833,0.18766003075796675,0.36363636363636365,0.0022630891879336897
2017-02 to 2017-07,PGR,129,39,-0.13501226949170134,0.12713127112042422,0.5641025641025641,0.0014047657979587163
