episode,ticker,sessions,annualized_realized_vol,mean_atr_pct,trend_up_share,trend_down_share,mean_book_imbalance,median_spread_bps,mean_short_volume_ratio,last_short_interest,shares_outstanding_proxy,short_interest_pct_shares
2009-05 to 2010-04,MCY,251,0.17500561738442072,0.017120506495157464,0.41832669322709165,0.04780876494023904,0.23786404391619945,2.225436741960167,,,,
2009-05 to 2010-04,CINF,251,0.20409344971944857,0.01825073157671573,0.3784860557768924,0.09163346613545817,0.510822797836786,3.5205069530017825,,,,
2009-05 to 2010-04,PGR,251,0.24442443957333765,0.022055136449035194,0.2749003984063745,0.09561752988047809,0.7072406634996772,4.976362279174703,,,,
2009-05 to 2010-04,AIZ,251,0.2925374091245948,0.026070730005460476,0.4103585657370518,0.07171314741035857,0.2836792007616135,2.74386061188232,,,,
2009-05 to 2010-04,AIG,251,0.9729038444979582,0.06970400438940712,0.20318725099601595,0.250996015936255,-0.3046039718387145,2.571024553283973,,,,
2009-05 to 2010-04,BAP,251,0.26020188140045586,0.022543980575385168,0.42231075697211157,0.04780876494023904,-0.481830474821129,4.609356994698323,,,,
2009-05 to 2010-04,ALL,251,0.28052980500338165,0.025074577375124595,0.3466135458167331,0.15139442231075698,-0.2511223171278378,0.0,,,,
2009-05 to 2010-04,HIG,251,0.5118686766445372,0.045669493915461726,0.24701195219123506,0.1593625498007968,-0.39757621840028384,3.497114880224362,,,,
2012-06 to 2012-12,MCY,141,0.19163271263557113,0.016055567808730454,0.24113475177304963,0.16312056737588654,0.33333333333333326,2.225436741960167,,,,
2012-06 to 2012-12,CINF,141,0.1382046632358148,0.014520066800145141,0.5460992907801419,0.0,0.8980891719745222,3.5205069530017825,,,,
2012-06 to 2012-12,PGR,141,0.16699535930040688,0.015997954164634513,0.3971631205673759,0.09929078014184398,0.9803729146221787,4.976362279174703,,,,
2012-06 to 2012-12,AIZ,141,0.22177456722962444,0.019116039356794977,0.41843971631205673,0.0851063829787234,0.6666666666666665,2.74386061188232,,,,
2012-06 to 2012-12,AIG,141,0.26231083779277503,0.02345986139881574,0.375886524822695,0.02127659574468085,-0.33333333333333326,2.571024553283973,,,,
2012-06 to 2012-12,BAP,141,0.1958325250290945,0.018242109432204796,0.5460992907801419,0.0,-0.6666666666666665,4.609356994698323,,,,
2012-06 to 2012-12,ALL,141,0.1571474434179726,0.01535094829619767,0.574468085106383,0.0,-0.11111111111111112,0.0,,,,
2012-06 to 2012-12,HIG,141,0.26802963246216877,0.023661175434720294,0.574468085106383,0.0,-0.9899909008189258,3.497114880224362,,,,
2014-03 to 2016-06,MCY,590,0.20037202836478007,0.017132197900235062,0.2033898305084746,0.15084745762711865,0.22073584361391987,2.225436741960167,,,,
2014-03 to 2016-06,CINF,590,0.1615430801599795,0.013866575307996062,0.376271186440678,0.09491525423728814,0.579859001004244,3.5205069530017825,,,,
2014-03 to 2016-06,PGR,590,0.1620126943827337,0.014496298737418577,0.3152542372881356,0.12372881355932204,0.6383042870110738,4.976362279174703,,,,
2014-03 to 2016-06,AIZ,590,0.21609617063720477,0.017015047334957373,0.32033898305084746,0.13050847457627118,0.45177478894710277,2.74386061188232,,,,
2014-03 to 2016-06,AIG,590,0.20326137908172817,0.016981122598173966,0.2983050847457627,0.13389830508474576,-0.14178701887577422,2.571024553283973,,,,
2014-03 to 2016-06,BAP,590,0.2646164554666073,0.023564883072203356,0.24067796610169492,0.22203389830508474,-0.451042606366282,4.609356994698323,,,,
2014-03 to 2016-06,ALL,590,0.1702038517214374,0.013687939565624516,0.3389830508474576,0.11186440677966102,-0.030330958630504435,0.0,,,,
2014-03 to 2016-06,HIG,590,0.2168185510632332,0.01780168610675826,0.23728813559322035,0.1440677966101695,-0.4794558948180224,3.497114880224362,,,,
2017-02 to 2017-07,KNSL,129,0.32585574172023607,0.0323059682099473,0.4728682170542636,0.007751937984496124,,,,,,
2017-02 to 2017-07,MCY,129,0.22913941421697748,0.018623442381728927,0.06201550387596899,0.29457364341085274,0.14285714285714282,3.7700282752126535,,,,
2017-02 to 2017-07,CINF,129,0.17144024707178154,0.013379066309463193,0.2248062015503876,0.21705426356589147,0.5172413793103448,2.6791694574676517,,,,
2017-02 to 2017-07,PGR,129,0.15968601187740827,0.013302136646075905,0.6124031007751938,0.0,0.6862745098039217,3.008876184746537,,,,
2017-02 to 2017-07,AIZ,129,0.21410964256759296,0.01643671150458651,0.2248062015503876,0.11627906976744186,0.35714285714285715,3.410447337009167,,,,
2017-02 to 2017-07,AIG,129,0.12917646959280205,0.012680942963522037,0.2558139534883721,0.11627906976744186,-0.05405405405405406,1.8908953389426133,,,,
2017-02 to 2017-07,BAP,129,0.18642934014120716,0.01754506596290428,0.5658914728682171,0.0,-0.7142857142857143,7.149124232280585,,,,
2017-02 to 2017-07,ALL,129,0.13977887859398316,0.01148886441728425,0.5426356589147286,0.007751937984496124,0.10204081632653061,2.8748023573373613,,,,
2017-02 to 2017-07,HIG,129,0.1440766115892408,0.012342254390327732,0.4108527131782946,0.007751937984496124,0.6831683168316831,2.259631680035705,,,,
2018-06 to 2020-05,KNSL,502,0.45091439276197676,0.03411043869883903,0.48406374501992033,0.05776892430278884,,,,729870.0,,
2018-06 to 2020-05,MCY,502,0.368460087414864,0.02586704677422294,0.17330677290836655,0.19322709163346613,0.14285714285714282,3.7700282752126535,,661009.0,,
2018-06 to 2020-05,CINF,502,0.4117362880374456,0.026307160872776326,0.33067729083665337,0.15338645418326693,0.5172413793103449,2.6791694574676517,,4590824.0,,
2018-06 to 2020-05,PGR,502,0.31365938426552953,0.023688722914591464,0.32669322709163345,0.14940239043824702,0.6862745098039216,3.008876184746537,,7033012.0,,
2018-06 to 2020-05,AIZ,502,0.37608890793777316,0.0248603407192175,0.3107569721115538,0.1454183266932271,0.35714285714285715,3.410447337009167,,1818386.0,,
2018-06 to 2020-05,AIG,502,0.5261166341960852,0.035324213059606126,0.22111553784860558,0.2649402390438247,-0.05405405405405406,1.8908953389426133,,14019507.0,,
2018-06 to 2020-05,BAP,502,0.3274416383105281,0.02666496603340126,0.15338645418326693,0.25697211155378485,-0.7142857142857143,7.149124232280585,,559314.0,,
2018-06 to 2020-05,ALL,502,0.33358828258575757,0.023396612479415456,0.3426294820717131,0.11952191235059761,0.1020408163265306,2.8748023573373613,,2980518.0,,
2018-06 to 2020-05,HIG,502,0.45839398553190214,0.027978048722539912,0.300796812749004,0.21115537848605578,0.683168316831683,2.259631680035705,,2860752.0,,
2023-04 to 2024-08,ROOT,357,1.0798688545898347,0.08740219430910982,0.2661064425770308,0.20448179271708683,0.05179543511723448,59.14826498422657,49.0291,1571030.0,,
