episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2009-05 to 2010-04,MCY,Core MA + ATR,-0.07189829939798364,92810.17006020164,0.07388321554983303,-0.9768215700573538,-0.07900907681489211,0.46511627906976744,0.12350597609561753,13,1
2009-05 to 2010-04,MCY,Enhanced short/order-book,-0.02930015914966011,97069.98408503398,0.05917333608034115,-0.4749976493663075,-0.0394317121259018,0.5,0.10358565737051793,9,1
2009-05 to 2010-04,CINF,Core MA + ATR,-0.08675080181556316,91324.91981844368,0.07962231744100334,-1.1039074239523305,-0.10933344597170547,0.5142857142857142,0.09561752988047809,12,1
2009-05 to 2010-04,CINF,Enhanced short/order-book,-0.007963851271273414,99203.61487287265,0.02019300802712236,-0.3874889651784192,-0.013301076178466431,0.3333333333333333,0.0199203187250996,4,0
2009-05 to 2010-04,PGR,Core MA + ATR,-0.13605965945100007,86394.0340549,0.09065562397064328,-1.5735275783177842,-0.1683193313366389,0.3958333333333333,0.1394422310756972,14,1
2009-05 to 2010-04,PGR,Enhanced short/order-book,-0.1446455203731547,85535.44796268453,0.082767771387086,-1.852752303860921,-0.17102154048884122,0.375,0.11553784860557768,12,1
2009-05 to 2010-04,AIZ,Core MA + ATR,-0.23609144806072602,76390.8551939274,0.12366364323078781,-2.1225396466602997,-0.2492950106763353,0.48936170212765956,0.12749003984063745,16,1
2009-05 to 2010-04,AIZ,Enhanced short/order-book,-0.2421853898702787,75781.46101297213,0.12647501649156315,-2.1358673046713488,-0.255283623461813,0.4666666666666667,0.11952191235059761,16,1
2009-05 to 2010-04,AIG,Core MA + ATR,-0.3582145180580182,64178.548194198185,0.2487515236690879,-1.6575381624270598,-0.3598283862122157,0.35294117647058826,0.099601593625498,11,2
2009-05 to 2010-04,AIG,Enhanced short/order-book,-0.285199298484464,71480.0701515536,0.22431759966284084,-1.3825930249343357,-0.29618519481612815,0.36363636363636365,0.06374501992031872,8,2
2009-05 to 2010-04,BAP,Core MA + ATR,-0.2752917060981107,72470.82939018893,0.09864916531575713,-3.2247513159716794,-0.2789822112132163,0.3333333333333333,0.10358565737051793,14,1
2009-05 to 2010-04,BAP,Enhanced short/order-book,-0.17780922383106756,82219.07761689325,0.07299061100224752,-2.6549762872707614,-0.17780922383106756,0.2916666666666667,0.06772908366533864,8,1
2009-05 to 2010-04,ALL,Core MA + ATR,-0.19035143395666587,80964.85660433341,0.11617113588670064,-1.765688441574435,-0.19478884759005533,0.375,0.17928286852589642,12,1
2009-05 to 2010-04,ALL,Enhanced short/order-book,-0.1670370912458824,83296.29087541177,0.10152947906847885,-1.7554317763485434,-0.17160228301232527,0.37777777777777777,0.1394422310756972,10,0
