episode,ticker,strategy,entry_date,side,entry_price,exit_date,exit_reason,exit_price
2009-05 to 2010-04,MCY,Core MA + ATR,2009-08-05,long,36.94,2009-08-11,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2009-08-13,long,37.3,2009-08-14,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2009-12-17,long,38.45,2009-12-18,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2009-12-21,long,39.03,2009-12-28,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-01-06,long,39.37,2010-01-07,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-02-09,long,38.97,2010-02-10,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-02-17,long,39.05,2010-02-24,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-03-03,long,42.6,2010-03-11,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-05-04,long,45.82,2010-05-06,ATR stop,44.20393418107983
2009-05 to 2010-04,MCY,Core MA + ATR,2010-06-07,short,42.18,2010-06-09,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-06-10,short,42.89,2010-06-11,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-07-02,short,41.35,2010-07-06,signal,
2009-05 to 2010-04,MCY,Core MA + ATR,2010-07-07,short,41.31,2010-07-08,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2009-08-05,long,36.94,2009-08-11,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2009-08-13,long,37.3,2009-08-14,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2009-12-17,long,38.45,2009-12-18,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2009-12-21,long,39.03,2009-12-28,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2010-01-06,long,39.37,2010-01-07,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2010-02-09,long,38.97,2010-02-10,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2010-02-17,long,39.05,2010-02-24,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2010-03-03,long,42.6,2010-03-11,signal,
2009-05 to 2010-04,MCY,Enhanced short/order-book,2010-05-04,long,45.82,2010-05-06,ATR stop,44.20393418107983
2009-05 to 2010-04,CINF,Core MA + ATR,2010-01-21,long,27.1,2010-01-22,signal,
2009-05 to 2010-04,CINF,Core MA + ATR,2010-02-18,long,26.49,2010-02-19,signal,
