dataset,ticker,rows,status,cached,date,error
short_interest,ROOT,89,ok,True,,
short_volume,ROOT,100,ok,True,,
reference,ROOT,0,error,False,2010-03-01,Massive request failed (HTTP 404)
reference,ROOT,0,error,False,2015-11-01,Massive request failed (HTTP 404)
reference,ROOT,1,ok,True,2023-12-01,
short_interest,PLMR,125,ok,True,,
short_volume,PLMR,100,ok,True,,
reference,PLMR,0,error,False,2010-03-01,Massive request failed (HTTP 404)
reference,PLMR,0,error,False,2015-11-01,Massive request failed (HTTP 404)
reference,PLMR,1,ok,True,2023-12-01,
short_interest,KNSL,157,ok,True,,
short_volume,KNSL,100,ok,True,,
reference,KNSL,0,error,False,2010-03-01,Massive request failed (HTTP 404)
reference,KNSL,0,error,False,2015-11-01,Massive request failed (HTTP 404)
reference,KNSL,1,ok,True,2023-12-01,
short_interest,MCY,157,ok,True,,
short_volume,MCY,100,ok,True,,
reference,MCY,1,ok,True,2010-03-01,
reference,MCY,1,ok,True,2015-11-01,
reference,MCY,1,ok,True,2023-12-01,
short_interest,LMND,96,ok,True,,
short_volume,LMND,100,ok,True,,
reference,LMND,0,error,False,2010-03-01,Massive request failed (HTTP 404)
reference,LMND,0,error,False,2015-11-01,Massive request failed (HTTP 404)
reference,LMND,1,ok,True,2023-12-01,
short_interest,CINF,157,ok,True,,
short_volume,CINF,100,ok,True,,
reference,CINF,1,ok,True,2010-03-01,
reference,CINF,1,ok,True,2015-11-01,
reference,CINF,1,ok,True,2023-12-01,
short_interest,PGR,157,ok,True,,
short_volume,PGR,100,ok,True,,
reference,PGR,1,ok,True,2010-03-01,
reference,PGR,1,ok,True,2015-11-01,
reference,PGR,1,ok,True,2023-12-01,
short_interest,AIZ,157,ok,True,,
short_volume,AIZ,100,ok,True,,
reference,AIZ,1,ok,True,2010-03-01,
reference,AIZ,1,ok,True,2015-11-01,
reference,AIZ,1,ok,True,2023-12-01,
short_interest,AIG,157,ok,True,,
short_volume,AIG,100,ok,True,,
reference,AIG,1,ok,True,2010-03-01,
reference,AIG,1,ok,True,2015-11-01,
reference,AIG,1,ok,True,2023-12-01,
short_interest,BAP,157,ok,True,,
short_volume,BAP,100,ok,True,,
reference,BAP,1,ok,True,2010-03-01,
reference,BAP,1,ok,True,2015-11-01,
reference,BAP,1,ok,True,2023-12-01,
short_interest,ALL,157,ok,True,,
short_volume,ALL,100,ok,True,,
reference,ALL,1,ok,True,2010-03-01,
reference,ALL,1,ok,True,2015-11-01,
reference,ALL,1,ok,True,2023-12-01,
short_interest,HIG,157,ok,True,,
